,,,Over,Over,Over,Poin,Poin,Poll,Poll,Poll
Rk,School▲,Conf,W,L,Pct,Off,Def,AP Pre,AP High,AP Post
1,Air Force,MWC,9,4,.692,30.8,21.1,,23,
2,Akron,MAC (East),1,11,.083,15.6,35.1,,,
3,Alabama,SEC (West),10,3,.769,35.7,13.5,1,1,10
4,Arizona,Pac-10,7,6,.538,28.2,22.7,,9,
5,Arizona State,Pac-10,6,6,.500,32.3,25.0,,,
6,Arkansas,SEC (West),10,3,.769,36.5,23.4,17,8,12
7,Arkansas State,Sun Belt,4,8,.333,30.0,30.8,,,
8,Army,Ind,7,6,.538,26.6,24.3,,,
9,Auburn,SEC (West),14,0,1.000,41.2,24.1,22,1,1
10,Ball State,MAC (West),4,8,.333,22.0,30.4,,,
11,Baylor,Big 12 (South),7,6,.538,31.2,30.5,,22,
12,Boise State,WAC,12,1,.923,45.1,12.8,3,2,9
13,Boston College,ACC (Atlantic),7,6,.538,18.5,19.5,,,
14,Bowling Green State,MAC (East),2,10,.167,21.3,33.6,,,
15,Brigham Young,MWC,7,6,.538,26.2,21.6,,,
16,Buffalo,MAC (East),2,10,.167,14.2,27.8,,,
17,California,Pac-10,5,7,.417,25.8,22.6,,,
18,Central Michigan,MAC (West),3,9,.250,24.4,26.0,,,
19,Cincinnati,Big East,4,8,.333,27.1,28.0,,,
20,Clemson,ACC (Atlantic),6,7,.462,24.0,18.8,,,
21,Colorado,Big 12 (North),5,7,.417,24.2,30.8,,,
22,Colorado State,MWC,3,9,.250,16.5,34.7,,,
23,Connecticut,Big East,8,5,.615,26.4,22.0,,25,
24,Duke,ACC (Coastal),3,9,.250,25.3,35.4,,,
25,East Carolina,CUSA (East),6,7,.462,36.8,44.0,,,
26,Eastern Michigan,MAC (West),2,10,.167,19.0,43.9,,,
27,Florida,SEC (East),8,5,.615,29.8,21.3,4,4,
28,Florida Atlantic,Sun Belt,4,8,.333,16.8,29.3,,,
29,Florida International,Sun Belt,7,6,.538,28.8,27.3,,,
30,Florida State,ACC (Atlantic),10,4,.714,31.4,19.6,20,16,17
31,Fresno State,WAC,8,5,.615,29.0,30.0,,,
32,Georgia,SEC (East),6,7,.462,32.1,22.1,23,22,
33,Georgia Tech,ACC (Coastal),6,7,.462,26.0,25.2,16,15,
34,Hawaii,WAC,10,4,.714,39.6,25.5,,24,
35,Houston,CUSA (West),5,7,.417,37.7,32.2,,23,
36,Idaho,WAC,6,7,.462,26.6,28.3,,,
37,Illinois,Big Ten,7,6,.538,32.5,23.5,,,
38,Indiana,Big Ten,5,7,.417,27.2,34.0,,,
39,Iowa,Big Ten,8,5,.615,28.9,17.0,9,9,
40,Iowa State,Big 12 (North),5,7,.417,21.7,28.8,,,
41,Kansas,Big 12 (North),3,9,.250,17.1,34.4,,,
42,Kansas State,Big 12 (North),7,6,.538,33.6,29.1,,,
43,Kent State,MAC (East),5,7,.417,21.3,22.9,,,
44,Kentucky,SEC (East),6,7,.462,31.2,28.4,,,
