,,,Over,Over,Over,Poin,Poin,Poll,Poll,Poll
45,Louisiana,Sun Belt,3,9,.250,22.3,37.0,,,
46,Louisiana Tech,WAC,5,7,.417,26.8,30.7,,,
47,Louisiana-Monroe,Sun Belt,5,7,.417,20.8,32.4,,,
48,Louisville,Big East,7,6,.538,26.4,19.4,,,
49,LSU,SEC (West),11,2,.846,29.7,18.2,21,5,8
50,Marshall,CUSA (East),5,7,.417,20.8,28.8,,,
51,Maryland,ACC (Atlantic),9,4,.692,32.2,22.2,,23,23
52,Memphis,CUSA (East),1,11,.083,14.4,39.8,,,
53,Miami (FL),ACC (Coastal),7,6,.538,26.3,20.7,13,12,
54,Miami (OH),MAC (East),10,4,.714,21.6,23.2,,,
55,Michigan,Big Ten,7,6,.538,32.8,35.2,,18,
56,Michigan State,Big Ten,11,2,.846,29.5,22.3,,5,14
57,Middle Tennessee State,Sun Belt,6,7,.462,26.5,28.1,,,
58,Minnesota,Big Ten,3,9,.250,23.2,33.0,,,
59,Mississippi State,SEC (West),9,4,.692,29.0,19.8,,15,15
60,Missouri,Big 12 (North),10,3,.769,29.8,16.1,,7,18
61,Navy,Ind,9,4,.692,29.7,23.3,,,
62,Nebraska,Big 12 (North),10,4,.714,30.9,17.4,8,5,20
63,Nevada,WAC,13,1,.929,41.0,21.4,,11,11
64,Nevada-Las Vegas,MWC,2,11,.154,18.4,39.7,,,
65,New Mexico,MWC,1,11,.083,15.8,44.3,,,
66,New Mexico State,WAC,2,10,.167,15.7,39.5,,,
67,North Carolina,ACC (Coastal),8,5,.615,25.3,23.2,18,18,
68,North Carolina State,ACC (Atlantic),9,4,.692,31.8,21.3,,21,25
69,North Texas,Sun Belt,3,9,.250,23.9,29.7,,,
70,Northern Illinois,MAC (West),11,3,.786,38.0,18.9,,24,
71,Northwestern,Big Ten,7,6,.538,26.4,29.0,,,
72,Notre Dame,Ind,8,5,.615,26.3,20.2,,,
73,Ohio,MAC (East),8,5,.615,27.5,23.8,,,
74,Ohio State,Big Ten,12,1,.923,38.8,14.3,2,1,5
75,Oklahoma,Big 12 (South),12,2,.857,37.2,21.8,7,3,6
76,Oklahoma State,Big 12 (South),11,2,.846,44.2,26.4,,10,13
77,Ole Miss,SEC (West),4,8,.333,30.6,35.2,,,
78,Oregon,Pac-10,12,1,.923,47.0,18.7,11,1,3
79,Oregon State,Pac-10,5,7,.417,24.4,26.8,24,24,
80,Penn State,Big Ten,7,6,.538,24.5,23.7,19,18,
81,Pitt,Big East,8,5,.615,26.3,19.0,15,15,
82,Purdue,Big Ten,4,8,.333,19.7,28.8,,,
83,Rice,CUSA (West),4,8,.333,28.7,38.5,,,
84,Rutgers,Big East,4,8,.333,20.8,26.5,,,
85,San Diego State,MWC,9,4,.692,35.0,22.1,,,
86,San Jose State,WAC,1,12,.077,16.1,34.7,,,
87,SMU,CUSA (West),7,7,.500,25.7,25.6,,,
88,South Carolina,SEC (East),9,5,.643,30.9,23.1,,10,22
89,South Florida,Big East,8,5,.615,24.1,20.0,,,
90,Southern Mississippi,CUSA (East),8,5,.615,36.8,29.5,,,
91,Stanford,Pac-10,12,1,.923,40.3,17.4,,4,4
92,Syracuse,Big East,8,5,.615,22.2,19.3,,,
93,Temple,MAC (East),8,4,.667,25.0,19.1,,,
94,Tennessee,SEC (East),6,7,.462,27.0,25.1,,,
95,Texas,Big 12 (South),5,7,.417,23.8,23.7,5,5,
96,Texas A&M,Big 12 (South),9,4,.692,31.2,21.9,,17,19
97,Texas Christian,MWC,13,0,1.000,41.6,12.0,6,2,2
98,Texas Tech,Big 12 (South),8,5,.615,33.1,30.9,,,
99,Toledo,MAC (West),8,5,.615,27.9,28.5,,,
100,Troy,Sun Belt,8,5,.615,34.1,30.2,,,
101,Tulane,CUSA (West),4,8,.333,24.9,37.2,,,
102,Tulsa,CUSA (West),10,3,.769,41.4,30.3,,24,24
103,UAB,CUSA (East),4,8,.333,26.3,31.6,,,
104,UCF,CUSA (East),11,3,.786,32.1,17.1,,21,21
105,UCLA,Pac-10,4,8,.333,20.2,30.3,,,
106,USC,Pac-10,8,5,.615,31.0,26.7,14,14,
107,Utah,MWC,10,3,.769,33.1,20.3,,6,
108,Utah State,WAC,4,8,.333,22.0,33.8,,,
109,UTEP,CUSA (West),6,7,.462,26.0,27.5,,,
110,Vanderbilt,SEC (East),2,10,.167,16.9,31.2,,,
111,Virginia,ACC (Coastal),4,8,.333,25.3,28.3,,,
112,Virginia Tech,ACC (Coastal),11,3,.786,33.9,20.6,10,10,16
113,Wake Forest,ACC (Atlantic),3,9,.250,22.8,35.8,,,
114,Washington,Pac-10,7,6,.538,21.8,29.3,,,
115,Washington State,Pac-10,2,10,.167,19.6,35.8,,,
116,West Virginia,Big East,9,4,.692,25.2,13.5,25,20,
117,Western Kentucky,Sun Belt,2,10,.167,22.8,33.2,,,
118,Western Michigan,MAC (West),6,6,.500,32.3,23.8,,,
119,Wisconsin,Big Ten,11,2,.846,41.5,20.5,12,4,7
120,Wyoming,MWC,3,9,.250,19.2,30.3,,,
