,,,Over,Over,Over,Poin,Poin,Poll,Poll,Poll
Rk,School▲,Conf,W,L,Pct,Off,Def,AP Pre,AP High,AP Rank
1,Air Force,MWC,9,4,.692,29.9,21.1,,,
2,Akron,MAC (East),4,8,.333,21.2,29.2,,,
3,Alabama,SEC (West),7,6,.538,27.1,22.0,,16,
4,Arizona,Pac-10,5,7,.417,28.0,26.8,,,
5,Arizona State,Pac-10,10,3,.769,32.3,22.5,,6,16
6,Arkansas,SEC (West),8,5,.615,37.3,26.5,21,16,
7,Arkansas State,Sun Belt,5,7,.417,24.3,27.6,,,
8,Army,Ind,3,9,.250,16.9,30.3,,,
9,Auburn,SEC (West),9,4,.692,24.2,16.9,18,15,15
10,Ball State,MAC (West),7,6,.538,31.5,28.3,,,
11,Baylor,Big 12 (South),3,9,.250,18.2,37.0,,,
12,Boise State,WAC,10,3,.769,42.4,21.6,24,17,
13,Boston College,ACC (Atlantic),11,3,.786,28.3,20.4,,2,10
14,Bowling Green State,MAC (East),8,5,.615,30.2,32.1,,,
15,Brigham Young,MWC,11,2,.846,30.1,18.5,,14,14
16,Buffalo,MAC (East),5,7,.417,24.3,27.6,,,
17,California,Pac-10,7,6,.538,29.3,26.8,12,2,
18,Central Michigan,MAC (West),8,6,.571,34.8,36.9,,,
19,Cincinnati,Big East,10,3,.769,36.3,18.8,,15,17
20,Clemson,ACC (Atlantic),9,4,.692,33.1,18.7,,13,21
21,Colorado,Big 12 (North),6,7,.462,27.3,29.5,,,
22,Colorado State,MWC,3,9,.250,25.3,30.8,,,
23,Connecticut,Big East,9,4,.692,26.5,19.0,,16,
24,Duke,ACC (Coastal),1,11,.083,17.9,33.2,,,
25,East Carolina,CUSA (East),8,5,.615,31.0,30.4,,,
26,Eastern Michigan,MAC (West),4,8,.333,24.2,31.2,,,
27,Florida,SEC (East),9,4,.692,42.5,25.5,6,3,13
28,Florida Atlantic,Sun Belt,8,5,.615,31.2,33.2,,,
29,Florida International,Sun Belt,1,11,.083,15.1,39.1,,,
30,Florida State,ACC (Atlantic),7,6,.538,23.3,22.9,19,19,
31,Fresno State,WAC,9,4,.692,32.8,27.0,,,
32,Georgia,SEC (East),11,2,.846,32.6,20.2,13,2,2
33,Georgia Tech,ACC (Coastal),7,6,.538,26.2,20.8,,15,
34,Hawaii,WAC,12,1,.923,43.4,25.5,23,10,19
35,Houston,CUSA (West),8,5,.615,34.5,29.2,,,
36,Idaho,WAC,1,11,.083,21.5,36.9,,,
37,Illinois,Big Ten,9,4,.692,27.8,21.8,,13,20
38,Indiana,Big Ten,7,6,.538,31.7,28.5,,,
39,Iowa,Big Ten,6,6,.500,18.5,18.8,,,
40,Iowa State,Big 12 (North),3,9,.250,18.2,31.8,,,
41,Kansas,Big 12 (North),12,1,.923,42.8,16.4,,2,7
42,Kansas State,Big 12 (North),5,7,.417,35.2,30.8,,24,
43,Kent State,MAC (East),3,9,.250,21.6,29.2,,,
44,Kentucky,SEC (East),8,5,.615,36.5,29.6,,8,
45,Louisiana,Sun Belt,3,9,.250,23.8,35.8,,,
46,Louisiana Tech,WAC,5,7,.417,20.8,30.7,,,
47,Louisiana-Monroe,Sun Belt,6,6,.500,23.5,27.7,,,
48,Louisville,Big East,6,6,.500,35.2,31.4,10,8,
49,LSU,SEC (West),12,2,.857,38.6,19.9,2,1,1
50,Marshall,CUSA (East),3,9,.250,24.8,34.3,,,
51,Maryland,ACC (Atlantic),6,7,.462,24.1,21.5,,,
52,Memphis,CUSA (East),7,6,.538,29.2,32.2,,,
53,Miami (FL),ACC (Coastal),5,7,.417,20.6,26.0,,,
54,Miami (OH),MAC (East),6,7,.462,19.2,25.6,,,
55,Michigan,Big Ten,9,4,.692,27.2,21.4,5,5,18
56,Michigan State,Big Ten,7,6,.538,33.1,26.6,,,
57,Middle Tennessee State,Sun Belt,5,7,.417,25.7,28.3,,,
58,Minnesota,Big Ten,1,11,.083,26.3,36.7,,,
59,Mississippi State,SEC (West),8,5,.615,21.5,23.2,,,
60,Missouri,Big 12 (North),12,2,.857,39.9,23.3,,1,4
61,Navy,Ind,8,5,.615,39.3,36.4,,,
62,Nebraska,Big 12 (North),5,7,.417,33.4,37.9,20,14,
63,Nevada,WAC,6,7,.462,33.5,32.2,,,
64,Nevada-Las Vegas,MWC,2,10,.167,18.2,28.6,,,
65,New Mexico,MWC,9,4,.692,24.7,19.0,,,
66,New Mexico State,WAC,4,9,.308,24.0,36.2,,,
67,North Carolina,ACC (Coastal),4,8,.333,21.2,24.5,,,
68,North Carolina State,ACC (Atlantic),5,7,.417,20.8,28.3,,,
69,North Texas,Sun Belt,2,10,.167,24.8,45.1,,,
70,Northern Illinois,MAC (West),2,10,.167,19.1,30.8,,,
71,Northwestern,Big Ten,6,6,.500,25.8,31.0,,,
72,Notre Dame,Ind,3,9,.250,16.4,28.8,,,
73,Ohio,MAC (East),6,6,.500,30.5,29.9,,,
74,Ohio State,Big Ten,11,2,.846,31.4,12.8,11,1,5
75,Oklahoma,Big 12 (South),11,3,.786,42.3,20.3,8,3,8
76,Oklahoma State,Big 12 (South),7,6,.538,34.6,29.5,,,
77,Ole Miss,SEC (West),3,9,.250,20.1,28.5,,,
78,Oregon,Pac-10,9,4,.692,38.2,23.6,,2,23
79,Oregon State,Pac-10,9,4,.692,27.8,22.6,,25,25
80,Penn State,Big Ten,9,4,.692,30.3,17.5,17,10,
81,Pitt,Big East,5,7,.417,22.8,24.3,,,
82,Purdue,Big Ten,8,5,.615,34.3,26.5,,23,
83,Rice,CUSA (West),3,9,.250,31.4,42.9,,,
84,Rutgers,Big East,8,5,.615,32.8,22.5,16,10,
85,San Diego State,MWC,4,8,.333,25.1,34.4,,,
86,San Jose State,WAC,5,7,.417,20.4,29.3,,,
87,SMU,CUSA (West),1,11,.083,28.3,39.8,,,
88,South Carolina,SEC (East),6,6,.500,26.1,23.5,,6,
89,South Florida,Big East,9,4,.692,34.7,23.4,,2,
90,Southern Mississippi,CUSA (East),7,6,.538,27.8,24.2,,,
91,Stanford,Pac-10,4,8,.333,19.6,28.3,,,
92,Syracuse,Big East,2,10,.167,16.4,34.8,,,
93,Temple,MAC (East),4,8,.333,16.4,26.3,,,
94,Tennessee,SEC (East),10,4,.714,32.5,27.3,15,12,12
95,Texas,Big 12 (South),10,3,.769,37.2,25.3,4,4,10
96,Texas A&M,Big 12 (South),7,6,.538,27.9,25.9,25,20,
97,Texas Christian,MWC,8,5,.615,26.1,18.7,22,19,
98,Texas Tech,Big 12 (South),9,4,.692,40.9,25.9,,22,22
99,Toledo,MAC (West),5,7,.417,32.9,39.2,,,
100,Troy,Sun Belt,8,4,.667,34.0,24.6,,,
101,Tulane,CUSA (West),4,8,.333,24.4,31.3,,,
102,Tulsa,CUSA (West),10,4,.714,41.1,33.4,,,
103,UAB,CUSA (East),2,10,.167,19.6,35.1,,,
104,UCF,CUSA (East),10,4,.714,35.9,26.6,,,
105,UCLA,Pac-10,6,7,.462,22.4,22.3,14,11,
106,USC,Pac-10,11,2,.846,32.6,16.0,1,1,3
107,Utah,MWC,9,4,.692,26.2,16.8,,,
108,Utah State,WAC,2,10,.167,20.6,33.8,,,
109,UTEP,CUSA (West),4,8,.333,33.6,37.1,,,
110,Vanderbilt,SEC (East),5,7,.417,21.7,22.6,,,
111,Virginia,ACC (Coastal),9,4,.692,24.4,19.7,,16,
112,Virginia Tech,ACC (Coastal),11,3,.786,28.7,16.1,9,5,9
113,Wake Forest,ACC (Atlantic),9,4,.692,27.8,22.2,,21,
114,Washington,Pac-10,4,9,.308,29.2,31.6,,,
115,Washington State,Pac-10,5,7,.417,25.7,32.4,,,
116,West Virginia,Big East,11,2,.846,39.6,18.1,3,2,6
117,Western Kentucky,Ind,7,5,.583,33.2,20.8,,,
118,Western Michigan,MAC (West),5,7,.417,26.9,28.9,,,
119,Wisconsin,Big Ten,9,4,.692,29.5,23.2,7,5,24
120,Wyoming,MWC,5,7,.417,19.4,25.9,,,
