,,,Over,Over,Over,Poin,Poin,Poll,Poll,Poll
45,Kentucky,SEC (East),2,10,.167,20.5,31.2,,,
46,Louisiana,Sun Belt,9,4,.692,33.8,26.5,,,
47,Louisiana Tech,CUSA (West),4,8,.333,19.2,26.3,,,
48,Louisiana-Monroe,Sun Belt,6,6,.500,22.3,30.2,,,
49,Louisville,American,12,1,.923,35.2,12.2,9,7,15
50,LSU,SEC (West),10,3,.769,35.8,22.0,12,6,14
51,Marshall,CUSA (East),10,4,.714,42.1,22.9,,,
52,Maryland,ACC (Atlantic),7,6,.538,26.2,25.3,,25,
53,Massachusetts,MAC (East),1,11,.083,11.7,33.0,,,
54,Memphis,American,3,9,.250,19.5,24.6,,,
55,Miami (FL),ACC (Coastal),9,4,.692,33.8,26.8,,7,
56,Miami (OH),MAC (East),0,12,.000,9.8,35.7,,,
57,Michigan,Big Ten (Legends),7,6,.538,32.2,26.8,17,11,
58,Michigan State,Big Ten (Legends),13,1,.929,29.4,13.2,,3,3
59,Middle Tennessee State,CUSA (East),8,5,.615,29.0,26.2,,,
60,Minnesota,Big Ten (Legends),8,5,.615,25.7,22.2,,,
61,Mississippi State,SEC (West),7,6,.538,27.7,23.0,,,
62,Missouri,SEC (East),12,2,.857,39.1,23.1,,5,5
63,Navy,Ind,9,4,.692,33.5,24.4,,,
64,Nebraska,Big Ten (Legends),9,4,.692,31.9,24.8,18,18,
65,Nevada,MWC (West),4,8,.333,26.9,34.4,,,
66,Nevada-Las Vegas,MWC (West),7,6,.538,29.9,31.8,,,
67,New Mexico,MWC (Mountain),3,9,.250,32.8,42.8,,,
68,New Mexico State,Ind,2,10,.167,20.9,44.6,,,
69,North Carolina,ACC (Coastal),7,6,.538,32.7,24.5,,,
70,North Carolina State,ACC (Atlantic),3,9,.250,22.8,30.2,,,
71,North Texas,CUSA (West),9,4,.692,31.8,17.8,,,
72,Northern Illinois,MAC (West),12,2,.857,39.6,25.1,,16,
73,Northwestern,Big Ten (Legends),5,7,.417,26.2,27.1,22,16,
74,Notre Dame,Ind,9,4,.692,27.2,22.4,14,14,20
75,Ohio,MAC (East),7,6,.538,27.4,27.5,,,
76,Ohio State,Big Ten (Leaders),12,2,.857,45.5,22.6,2,2,12
77,Oklahoma,Big 12,11,2,.846,32.8,22.1,16,6,6
78,Oklahoma State,Big 12,10,3,.769,39.1,21.6,13,6,17
79,Ole Miss,SEC (West),8,5,.615,30.0,23.7,,21,
80,Oregon,Pac-12 (North),11,2,.846,45.5,20.5,3,2,9
81,Oregon State,Pac-12 (North),7,6,.538,34.8,31.4,25,25,
82,Penn State,Big Ten (Leaders),7,5,.583,28.7,26.2,,,
83,Pitt,ACC (Coastal),7,6,.538,26.3,27.2,,,
84,Purdue,Big Ten (Leaders),1,11,.083,14.9,38.0,,,
85,Rice,CUSA (West),10,4,.714,29.6,24.4,,,
86,Rutgers,American,6,7,.462,26.5,29.8,,,
87,San Diego State,MWC (West),8,5,.615,29.8,31.7,,,
88,San Jose State,MWC (West),6,6,.500,32.4,35.1,,,
89,SMU,American,5,7,.417,26.8,33.3,,,
90,South Alabama,Sun Belt,6,6,.500,29.4,25.2,,,
91,South Carolina,SEC (East),11,2,.846,34.1,20.3,6,4,4
92,South Florida,American,2,10,.167,13.8,28.6,,,
93,Southern Mississippi,CUSA (East),1,11,.083,17.1,41.9,,,
94,Stanford,Pac-12 (North),11,3,.786,32.3,19.0,4,4,11
95,Syracuse,ACC (Atlantic),7,6,.538,22.7,25.4,,,
96,Temple,American,2,10,.167,24.9,29.8,,,
97,Tennessee,SEC (East),5,7,.417,23.8,29.0,,,
98,Texas,Big 12,8,5,.615,29.3,25.8,15,15,
99,Texas A&M,SEC (West),9,4,.692,44.2,32.2,7,6,18
100,Texas Christian,Big 12,4,8,.333,25.1,25.3,20,20,
101,Texas State,Sun Belt,6,6,.500,23.9,27.3,,,
102,Texas Tech,Big 12,8,5,.615,35.8,30.5,,10,
103,Toledo,MAC (West),7,5,.583,33.0,28.6,,,
104,Troy,Sun Belt,6,6,.500,34.1,35.9,,,
105,Tulane,CUSA (West),7,6,.538,24.8,21.4,,,
106,Tulsa,CUSA (West),3,9,.250,21.1,33.9,,,
107,UAB,CUSA (East),2,10,.167,26.3,43.8,,,
108,UCF,American,12,1,.923,34.6,21.3,,10,10
109,UCLA,Pac-12 (South),10,3,.769,36.9,23.2,21,9,16
110,USC,Pac-12 (South),10,4,.714,29.7,21.2,24,19,19
111,Utah,Pac-12 (South),5,7,.417,29.2,28.0,,,
112,Utah State,MWC (Mountain),9,5,.643,31.8,17.1,,,
113,UTEP,CUSA (West),2,10,.167,21.8,39.3,,,
114,UTSA,CUSA (West),7,5,.583,25.6,26.3,,,
115,Vanderbilt,SEC (East),9,4,.692,30.1,24.6,,24,24
116,Virginia,ACC (Coastal),2,10,.167,19.8,33.3,,,
117,Virginia Tech,ACC (Coastal),8,5,.615,22.5,19.3,,16,
118,Wake Forest,ACC (Atlantic),4,8,.333,18.3,24.1,,,
119,Washington,Pac-12 (North),9,4,.692,37.9,22.8,,15,25
120,Washington State,Pac-12 (North),6,7,.462,31.0,32.5,,,
121,West Virginia,Big 12,4,8,.333,26.3,33.3,,,
122,Western Kentucky,Sun Belt,8,4,.667,30.8,24.6,,,
123,Western Michigan,MAC (West),1,11,.083,17.2,35.4,,,
124,Wisconsin,Big Ten (Leaders),9,4,.692,34.8,16.3,23,14,22
125,Wyoming,MWC (Mountain),5,7,.417,31.3,36.7,,,
