,,,Over,Over,Over,Poin,Poin,Poll,Poll,Poll
Rk,School▲,Conf,W,L,Pct,Off,Def,AP Pre,AP High,AP Rank
1,Air Force,MWC (Mountain),2,10,.167,24.7,40.0,,,
2,Akron,MAC (East),5,7,.417,20.2,28.6,,,
3,Alabama,SEC (West),11,2,.846,38.2,13.9,1,1,7
4,Arizona,Pac-12 (South),8,5,.615,33.5,24.2,,,
5,Arizona State,Pac-12 (South),10,4,.714,39.7,26.6,,11,21
6,Arkansas,SEC (West),3,9,.250,20.7,30.8,,,
7,Arkansas State,Sun Belt,8,5,.615,29.2,26.2,,,
8,Army,Ind,3,9,.250,24.4,31.6,,,
9,Auburn,SEC (West),12,2,.857,39.5,24.7,,2,2
10,Ball State,MAC (West),10,3,.769,38.5,24.7,,,
11,Baylor,Big 12,11,2,.846,52.4,23.5,,3,13
12,Boise State,MWC (Mountain),8,5,.615,37.5,24.8,19,19,
13,Boston College,ACC (Atlantic),7,6,.538,27.7,28.9,,,
14,Bowling Green State,MAC (East),10,4,.714,34.8,15.9,,,
15,Brigham Young,Ind,8,5,.615,30.2,22.1,,,
16,Buffalo,MAC (East),8,5,.615,30.3,24.4,,,
17,California,Pac-12 (North),1,11,.083,23.0,45.9,,,
18,Central Michigan,MAC (West),6,6,.500,23.3,28.6,,,
19,Cincinnati,American,9,4,.692,32.1,21.0,,,
20,Clemson,ACC (Atlantic),11,2,.846,40.2,22.2,8,3,8
21,Colorado,Pac-12 (South),4,8,.333,25.4,38.3,,,
22,Colorado State,MWC (Mountain),8,6,.571,36.2,29.8,,,
23,Connecticut,American,3,9,.250,20.6,30.3,,,
24,Duke,ACC (Coastal),10,4,.714,32.8,26.6,,20,23
25,East Carolina,CUSA (East),10,3,.769,40.2,24.8,,,
26,Eastern Michigan,MAC (West),2,10,.167,18.8,45.2,,,
27,Florida,SEC (East),4,8,.333,18.8,21.1,10,10,
28,Florida Atlantic,CUSA (East),6,6,.500,26.4,22.3,,,
29,Florida International,CUSA (East),1,11,.083,9.8,37.0,,,
30,Florida State,ACC (Atlantic),14,0,1.000,51.6,12.1,11,1,1
31,Fresno State,MWC (West),11,2,.846,43.4,30.3,,15,
32,Georgia,SEC (East),8,5,.615,36.7,29.0,5,5,
33,Georgia State,Sun Belt,0,12,.000,18.8,36.7,,,
34,Georgia Tech,ACC (Coastal),7,6,.538,35.1,22.8,,,
35,Hawaii,MWC (West),1,11,.083,27.4,38.8,,,
36,Houston,American,8,5,.615,33.2,21.8,,,
37,Idaho,Ind,1,11,.083,18.2,46.8,,,
38,Illinois,Big Ten (Leaders),4,8,.333,29.7,35.4,,,
39,Indiana,Big Ten (Leaders),5,7,.417,38.4,38.8,,,
40,Iowa,Big Ten (Legends),8,5,.615,26.3,18.9,,,
41,Iowa State,Big 12,3,9,.250,24.8,36.0,,,
42,Kansas,Big 12,3,9,.250,15.3,31.8,,,
43,Kansas State,Big 12,8,5,.615,33.2,22.9,,,
44,Kent State,MAC (East),4,8,.333,20.8,26.9,,,
