,,,Over,Over,Over,Poin,Poin,Poll,Poll,Poll
Rk,School▲,Conf,W,L,Pct,Off,Def,AP Pre,AP High,AP Rank
1,Air Force,MWC,7,6,.538,34.9,28.4,,,
2,Akron,MAC (East),1,11,.083,14.2,38.5,,,
3,Alabama,SEC (West),12,1,.923,34.8,8.2,2,1,1
4,Arizona,Pac-12 (South),4,8,.333,30.8,35.4,,,
5,Arizona State,Pac-12 (South),6,7,.462,33.2,28.6,,18,
6,Arkansas,SEC (West),11,2,.846,36.8,22.2,15,3,5
7,Arkansas State,Sun Belt,10,3,.769,32.5,20.8,,,
8,Army,Ind,3,9,.250,24.8,28.3,,,
9,Auburn,SEC (West),8,5,.615,25.7,28.9,23,15,
10,Ball State,MAC (West),6,6,.500,25.3,34.7,,,
11,Baylor,Big 12,10,3,.769,45.3,37.2,,13,13
12,Boise State,MWC,12,1,.923,44.2,18.7,5,4,8
13,Boston College,ACC (Atlantic),4,8,.333,18.2,23.5,,,
14,Bowling Green State,MAC (East),5,7,.417,26.5,28.8,,,
15,Brigham Young,Ind,10,3,.769,30.1,20.4,,,
16,Buffalo,MAC (East),3,9,.250,22.2,29.4,,,
17,California,Pac-12 (North),7,6,.538,28.3,24.2,,,
18,Central Michigan,MAC (West),3,9,.250,22.6,33.3,,,
19,Cincinnati,Big East,10,3,.769,33.3,20.3,,23,25
20,Clemson,ACC (Atlantic),10,4,.714,33.6,29.3,,6,22
21,Colorado,Pac-12 (South),3,10,.231,19.8,36.5,,,
22,Colorado State,MWC,3,9,.250,21.4,31.3,,,
23,Connecticut,Big East,5,7,.417,24.3,24.3,,,
24,Duke,ACC (Coastal),3,9,.250,22.5,31.2,,,
25,East Carolina,CUSA (East),5,7,.417,26.3,32.3,,,
26,Eastern Michigan,MAC (West),6,6,.500,21.3,24.3,,,
27,Florida,SEC (East),7,6,.538,25.5,20.3,22,12,
28,Florida Atlantic,Sun Belt,1,11,.083,12.9,34.7,,,
29,Florida International,Sun Belt,8,5,.615,25.0,19.5,,,
30,Florida State,ACC (Atlantic),9,4,.692,30.6,15.1,6,5,23
31,Fresno State,WAC,4,9,.308,28.5,35.2,,,
32,Georgia,SEC (East),10,4,.714,32.0,20.6,19,12,19
33,Georgia Tech,ACC (Coastal),8,5,.615,34.3,26.1,,12,
34,Hawaii,WAC,6,7,.462,31.5,29.1,,,
35,Houston,CUSA (West),13,1,.929,49.3,22.4,,7,18
36,Idaho,WAC,2,10,.167,20.3,33.3,,,
37,Illinois,Big Ten (Leaders),7,6,.538,22.6,19.6,,16,
