,,,Over,Over,Over,Poin,Poin,Poll,Poll,Poll
38,Indiana,Big Ten (Leaders),1,11,.083,21.4,37.3,,,
39,Iowa,Big Ten (Legends),7,6,.538,27.5,23.8,,,
40,Iowa State,Big 12,6,7,.462,22.7,29.4,,,
41,Kansas,Big 12,2,10,.167,22.3,43.8,,,
42,Kansas State,Big 12,10,3,.769,31.8,27.9,,10,15
43,Kent State,MAC (East),5,7,.417,17.1,24.3,,,
44,Kentucky,SEC (East),5,7,.417,15.8,24.7,,,
45,Louisiana,Sun Belt,9,4,.692,32.3,29.8,,,
46,Louisiana Tech,WAC,8,5,.615,30.1,23.2,,,
47,Louisiana-Monroe,Sun Belt,4,8,.333,24.6,25.4,,,
48,Louisville,Big East,7,6,.538,21.9,20.1,,,
49,LSU,SEC (West),13,1,.929,35.7,11.3,4,1,2
50,Marshall,CUSA (East),7,6,.538,21.8,28.6,,,
51,Maryland,ACC (Atlantic),2,10,.167,23.1,34.3,,,
52,Memphis,CUSA (East),2,10,.167,16.3,35.1,,,
53,Miami (FL),ACC (Coastal),6,6,.500,26.5,20.1,,,
54,Miami (OH),MAC (East),4,8,.333,21.3,22.9,,,
55,Michigan,Big Ten (Legends),11,2,.846,33.3,17.4,,11,12
56,Michigan State,Big Ten (Legends),11,3,.786,31.0,18.4,17,9,11
57,Middle Tennessee State,Sun Belt,2,10,.167,22.3,36.8,,,
58,Minnesota,Big Ten (Legends),3,9,.250,18.4,31.7,,,
59,Mississippi State,SEC (West),7,6,.538,25.3,19.7,20,16,
60,Missouri,Big 12,8,5,.615,32.8,23.5,21,21,
61,Navy,Ind,5,7,.417,29.7,28.9,,,
62,Nebraska,Big Ten (Legends),9,4,.692,29.2,23.4,10,8,24
63,Nevada,WAC,7,6,.538,31.7,25.2,,,
64,Nevada-Las Vegas,MWC,2,10,.167,17.3,40.4,,,
65,New Mexico,MWC,1,11,.083,12.0,41.7,,,
66,New Mexico State,WAC,4,9,.308,24.5,36.8,,,
67,North Carolina,ACC (Coastal),7,6,.538,28.0,24.8,,,
68,North Carolina State,ACC (Atlantic),8,5,.615,28.2,24.7,,,
69,North Texas,Sun Belt,5,7,.417,24.8,30.7,,,
70,Northern Illinois,MAC (West),11,3,.786,38.3,30.3,,,
71,Northwestern,Big Ten (Legends),6,7,.462,28.9,27.7,,,
72,Notre Dame,Ind,8,5,.615,29.2,20.7,16,16,
73,Ohio,MAC (East),10,4,.714,30.5,22.1,,,
74,Ohio State,Big Ten (Leaders),6,7,.462,24.5,21.0,18,15,
75,Oklahoma,Big 12,10,3,.769,39.5,22.1,1,1,16
76,Oklahoma State,Big 12,12,1,.923,48.7,26.8,9,2,3
77,Ole Miss,SEC (West),2,10,.167,16.1,32.1,,,
78,Oregon,Pac-12 (North),12,2,.857,46.1,24.6,3,3,4
79,Oregon State,Pac-12 (North),3,9,.250,21.8,30.8,,,
80,Penn State,Big Ten (Leaders),9,4,.692,19.3,16.8,,12,
81,Pitt,Big East,6,7,.462,24.2,22.8,,,
82,Purdue,Big Ten (Leaders),7,6,.538,26.9,26.8,,,
83,Rice,CUSA (West),4,8,.333,23.3,33.3,,,
84,Rutgers,Big East,9,4,.692,26.4,18.3,,,
85,San Diego State,MWC,8,5,.615,29.8,25.0,,,
86,San Jose State,WAC,5,7,.417,24.5,30.3,,,
87,SMU,CUSA (West),8,5,.615,25.8,23.1,,,
88,South Carolina,SEC (East),11,2,.846,30.1,18.4,12,9,9
89,South Florida,Big East,5,7,.417,29.3,22.7,,16,
90,Southern Mississippi,CUSA (East),12,2,.857,36.9,20.8,,20,20
91,Stanford,Pac-12 (North),11,2,.846,43.2,21.9,7,3,7
92,Syracuse,Big East,5,7,.417,24.2,28.5,,,
93,Temple,MAC (East),9,4,.692,30.6,13.9,,,
94,Tennessee,SEC (East),5,7,.417,20.3,22.6,,,
95,Texas,Big 12,8,5,.615,28.1,22.2,,11,
96,Texas A&M,Big 12,7,6,.538,39.1,28.2,8,7,
97,Texas Christian,MWC,11,2,.846,40.8,21.5,14,14,14
98,Texas Tech,Big 12,5,7,.417,33.8,39.3,,19,
99,Toledo,MAC (West),9,4,.692,42.2,31.7,,,
100,Troy,Sun Belt,3,9,.250,22.4,33.7,,,
101,Tulane,CUSA (West),2,11,.154,21.1,37.5,,,
102,Tulsa,CUSA (West),8,5,.615,33.1,27.3,,,
103,UAB,CUSA (East),3,9,.250,20.2,36.8,,,
104,UCF,CUSA (East),5,7,.417,27.1,18.3,,,
105,UCLA,Pac-12 (South),6,8,.429,23.1,31.4,,,
106,USC,Pac-12 (South),10,2,.833,35.8,23.6,25,5,6
107,Utah,Pac-12 (South),8,5,.615,25.0,20.2,,,
108,Utah State,WAC,7,6,.538,33.6,27.9,,,
109,UTEP,CUSA (West),5,7,.417,26.6,30.3,,,
110,Vanderbilt,SEC (East),6,7,.462,26.7,21.6,,,
111,Virginia,ACC (Coastal),8,5,.615,23.2,23.8,,24,
112,Virginia Tech,ACC (Coastal),11,3,.786,27.9,17.6,13,5,21
113,Wake Forest,ACC (Atlantic),6,7,.462,26.0,27.4,,,
114,Washington,Pac-12 (North),7,6,.538,33.4,35.9,,22,
115,Washington State,Pac-12 (North),4,8,.333,29.8,31.8,,,
116,West Virginia,Big East,10,3,.769,37.6,26.8,24,11,17
117,Western Kentucky,Sun Belt,7,5,.583,22.9,24.8,,,
118,Western Michigan,MAC (West),7,6,.538,35.3,28.7,,,
119,Wisconsin,Big Ten (Leaders),11,3,.786,44.1,19.0,11,4,10
120,Wyoming,MWC,8,5,.615,26.1,27.8,,,
