,,,Over,Over,Over,Poin,Poin,Poll,Poll,Poll
45,Kansas State,Big 12,9,4,.692,35.8,23.2,20,9,18
46,Kent State,MAC (East),2,9,.182,16.4,29.0,,,
47,Kentucky,SEC (East),5,7,.417,29.2,31.3,,,
48,Louisiana,Sun Belt,9,4,.692,29.5,26.0,,,
49,Louisiana Tech,CUSA (West),9,5,.643,37.4,24.7,,,
50,Louisiana-Monroe,Sun Belt,4,8,.333,20.1,26.3,,,
51,Louisville,ACC (Atlantic),9,4,.692,31.2,21.8,,20,24
52,LSU,SEC (West),8,5,.615,27.6,17.5,13,8,
53,Marshall,CUSA (East),13,1,.929,45.6,21.0,,18,23
54,Maryland,Big Ten (East),7,6,.538,28.5,30.2,,,
55,Massachusetts,MAC (East),3,9,.250,27.3,33.0,,,
56,Memphis,American,10,3,.769,36.2,19.5,,25,25
57,Miami (FL),ACC (Coastal),6,7,.462,29.2,24.3,,,
58,Miami (OH),MAC (East),2,10,.167,22.3,31.8,,,
59,Michigan,Big Ten (East),5,7,.417,20.9,22.4,,,
60,Michigan State,Big Ten (East),11,2,.846,43.0,21.5,8,5,5
61,Middle Tennessee State,CUSA (East),6,6,.500,31.6,31.5,,,
62,Minnesota,Big Ten (West),8,5,.615,28.4,24.2,,22,
63,Mississippi State,SEC (West),10,3,.769,36.9,21.7,,1,11
64,Missouri,SEC (East),11,3,.786,27.8,21.1,24,14,14
65,Navy,Ind,8,5,.615,31.8,27.3,,,
66,Nebraska,Big Ten (West),9,4,.692,37.8,26.4,22,11,
67,Nevada,MWC (West),7,6,.538,29.2,27.2,,,
68,Nevada-Las Vegas,MWC (West),2,11,.154,21.9,38.5,,,
69,New Mexico,MWC (Mountain),4,8,.333,27.7,35.9,,,
70,New Mexico State,Sun Belt,2,10,.167,24.5,39.1,,,
71,North Carolina,ACC (Coastal),6,7,.462,33.2,39.0,23,21,
72,North Carolina State,ACC (Atlantic),8,5,.615,30.2,27.0,,,
73,North Texas,CUSA (West),4,8,.333,27.2,29.8,,,
74,Northern Illinois,MAC (West),11,3,.786,31.5,25.6,,,
75,Northwestern,Big Ten (West),5,7,.417,23.0,25.2,,,
76,Notre Dame,Ind,8,5,.615,32.8,29.2,17,5,
77,Ohio,MAC (East),6,6,.500,20.5,24.8,,,
78,Ohio State,Big Ten (East),14,1,.933,44.8,22.0,5,1,1
79,Oklahoma,Big 12,8,5,.615,36.4,25.9,4,4,
80,Oklahoma State,Big 12,7,6,.538,27.6,31.2,,15,
81,Old Dominion,CUSA (East),6,6,.500,32.7,38.0,,,
82,Ole Miss,SEC (West),9,4,.692,28.3,16.0,18,3,17
83,Oregon,Pac-12 (North),13,2,.867,45.4,23.6,3,2,2
84,Oregon State,Pac-12 (North),5,7,.417,25.7,31.6,,,
85,Penn State,Big Ten (East),7,6,.538,20.6,18.6,,,
86,Pitt,ACC (Coastal),6,7,.462,31.8,26.3,,,
87,Purdue,Big Ten (West),3,9,.250,23.8,31.7,,,
88,Rice,CUSA (West),8,5,.615,28.8,28.5,,,
89,Rutgers,Big Ten (East),8,5,.615,26.7,30.2,,,
90,San Diego State,MWC (West),7,6,.538,25.0,19.8,,,
91,San Jose State,MWC (West),3,9,.250,19.3,29.4,,,
92,SMU,American,1,11,.083,11.1,41.3,,,
93,South Alabama,Sun Belt,6,7,.462,22.5,26.4,,,
94,South Carolina,SEC (East),7,6,.538,32.6,30.4,9,9,
95,South Florida,American,4,8,.333,17.2,27.0,,,
96,Southern Mississippi,CUSA (West),3,9,.250,19.0,35.4,,,
97,Stanford,Pac-12 (North),8,5,.615,27.2,16.4,11,11,
98,Syracuse,ACC (Atlantic),3,9,.250,17.1,24.3,,,
99,Temple,American,6,6,.500,23.1,17.5,,,
100,Tennessee,SEC (East),7,6,.538,28.9,24.2,,,
101,Texas,Big 12,6,7,.462,21.4,23.8,,,
102,Texas A&M,SEC (West),8,5,.615,35.2,28.1,21,6,
103,Texas Christian,Big 12,12,1,.923,46.5,19.0,,3,3
104,Texas State,Sun Belt,7,5,.583,33.8,27.7,,,
105,Texas Tech,Big 12,4,8,.333,30.5,41.3,,,
106,Toledo,MAC (West),9,4,.692,36.6,30.5,,,
107,Troy,Sun Belt,3,9,.250,21.8,36.2,,,
108,Tulane,American,3,9,.250,16.0,28.4,,,
109,Tulsa,American,2,10,.167,24.7,39.3,,,
110,UAB,CUSA (East),6,6,.500,33.2,29.9,,,
111,UCF,American,9,4,.692,28.1,19.2,,,
112,UCLA,Pac-12 (South),10,3,.769,33.5,28.1,7,7,10
113,USC,Pac-12 (South),9,4,.692,35.8,25.2,15,9,20
114,Utah,Pac-12 (South),9,4,.692,31.3,24.9,,18,21
115,Utah State,MWC (Mountain),10,4,.714,26.9,19.7,,,
116,UTEP,CUSA (West),7,6,.538,26.6,28.1,,,
117,UTSA,CUSA (West),4,8,.333,17.1,25.9,,,
118,Vanderbilt,SEC (East),3,9,.250,17.2,33.3,,,
119,Virginia,ACC (Coastal),5,7,.417,25.8,24.1,,,
120,Virginia Tech,ACC (Coastal),7,6,.538,24.1,20.2,,17,
121,Wake Forest,ACC (Atlantic),3,9,.250,14.8,26.4,,,
122,Washington,Pac-12 (North),8,6,.571,30.2,24.8,25,25,
123,Washington State,Pac-12 (North),3,9,.250,31.8,38.6,,,
124,West Virginia,Big 12,7,6,.538,33.5,27.6,,20,
125,Western Kentucky,CUSA (East),8,5,.615,44.4,39.9,,,
126,Western Michigan,MAC (West),8,5,.615,33.8,24.9,,,
127,Wisconsin,Big Ten (West),11,3,.786,34.6,20.8,14,11,13
128,Wyoming,MWC (Mountain),4,8,.333,21.1,32.8,,,
