,,,Over,Over,Over,Poin,Poin,Poll,Poll,Poll
Rk,School▲,Conf,W,L,Pct,Off,Def,AP Pre,AP High,AP Rank
1,Air Force,MWC (Mountain),10,3,.769,31.5,24.2,,,
2,Akron,MAC (East),5,7,.417,22.6,23.1,,,
3,Alabama,SEC (West),12,2,.857,36.9,18.4,2,1,4
4,Appalachian State,Sun Belt,7,5,.583,35.7,27.3,,,
5,Arizona,Pac-12 (South),10,4,.714,34.5,28.2,,8,19
6,Arizona State,Pac-12 (South),10,3,.769,36.9,27.9,19,7,12
7,Arkansas,SEC (West),7,6,.538,31.9,19.2,,,
8,Arkansas State,Sun Belt,7,6,.538,36.7,30.5,,,
9,Army,Ind,4,8,.333,24.9,32.9,,,
10,Auburn,SEC (West),8,5,.615,35.5,26.7,6,2,22
11,Ball State,MAC (West),5,7,.417,27.7,27.2,,,
12,Baylor,Big 12,11,2,.846,48.2,25.5,10,4,7
13,Boise State,MWC (Mountain),12,2,.857,39.7,26.8,,16,16
14,Boston College,ACC (Atlantic),7,6,.538,26.2,21.3,,,
15,Bowling Green State,MAC (East),8,6,.571,30.0,33.5,,,
16,Brigham Young,Ind,8,5,.615,37.1,27.5,,18,
17,Buffalo,MAC (East),5,6,.455,32.3,31.5,,,
18,California,Pac-12 (North),5,7,.417,38.3,39.8,,,
19,Central Michigan,MAC (West),7,6,.538,26.9,25.2,,,
20,Cincinnati,American,9,4,.692,34.0,27.2,,,
21,Clemson,ACC (Atlantic),10,3,.769,30.8,16.7,16,15,15
22,Colorado,Pac-12 (South),2,10,.167,28.5,39.0,,,
23,Colorado State,MWC (Mountain),10,3,.769,33.9,25.1,,21,
24,Connecticut,American,2,10,.167,15.5,29.8,,,
25,Duke,ACC (Coastal),9,4,.692,32.4,21.8,,19,
26,East Carolina,American,8,5,.615,35.8,25.8,,18,
27,Eastern Michigan,MAC (West),2,10,.167,15.2,40.9,,,
28,Florida,SEC (East),7,5,.583,30.3,21.1,,,
29,Florida Atlantic,CUSA (East),3,9,.250,24.0,34.4,,,
30,Florida International,CUSA (East),4,8,.333,23.0,24.8,,,
31,Florida State,ACC (Atlantic),13,1,.929,33.7,25.6,1,1,5
32,Fresno State,MWC (West),6,8,.429,26.5,32.4,,,
33,Georgia,SEC (East),10,3,.769,41.3,20.7,12,6,9
34,Georgia Southern,Sun Belt,9,3,.750,39.1,23.4,,,
35,Georgia State,Sun Belt,1,11,.083,22.7,43.3,,,
36,Georgia Tech,ACC (Coastal),11,3,.786,37.9,25.7,,8,8
37,Hawaii,MWC (West),4,9,.308,20.9,26.8,,,
38,Houston,American,8,5,.615,29.8,20.6,,,
39,Idaho,Sun Belt,1,10,.091,25.0,37.3,,,
40,Illinois,Big Ten (West),6,7,.462,25.9,34.0,,,
41,Indiana,Big Ten (East),4,8,.333,25.1,32.8,,,
42,Iowa,Big Ten (West),7,6,.538,28.2,25.6,,,
43,Iowa State,Big 12,2,10,.167,23.2,38.8,,,
44,Kansas,Big 12,3,9,.250,17.8,33.3,,,
