,,,Over,Over,Over,Poin,Poin,Poll,Poll,Poll
104,Texas A&M,SEC (West),7,6,.538,32.7,30.7,,,
105,Texas Christian,Big 12,11,3,.786,33.6,19.0,,4,9
106,Texas State,Sun Belt,2,10,.167,17.3,33.6,,,
107,Texas Tech,Big 12,6,7,.462,34.3,32.2,,24,
108,Toledo,MAC (West),11,3,.786,36.4,26.2,,,
109,Troy,Sun Belt,11,2,.846,31.5,18.5,,,
110,Tulane,American (West),5,7,.417,27.5,29.2,,,
111,Tulsa,American (West),2,10,.167,29.3,37.5,,,
112,UAB,CUSA (West),8,5,.615,27.8,25.6,,,
113,UCF,American (East),13,0,1.000,48.2,25.3,,6,6
114,UCLA,Pac-12 (South),6,7,.462,32.5,36.6,,25,
115,USC,Pac-12 (South),11,3,.786,32.6,26.1,4,4,12
116,Utah,Pac-12 (South),7,6,.538,29.5,23.2,,20,
117,Utah State,MWC (Mountain),6,7,.462,30.2,26.9,,,
118,UTEP,CUSA (West),0,12,.000,11.8,36.8,,,
119,UTSA,CUSA (West),6,5,.545,23.5,17.0,,,
120,Vanderbilt,SEC (East),5,7,.417,24.6,31.3,,,
121,Virginia,ACC (Coastal),6,7,.462,22.5,28.4,,,
122,Virginia Tech,ACC (Coastal),9,4,.692,28.2,14.8,21,12,24
123,Wake Forest,ACC (Atlantic),8,5,.615,35.3,28.3,,,
124,Washington,Pac-12 (North),10,3,.769,36.2,16.1,8,5,16
125,Washington State,Pac-12 (North),9,4,.692,30.3,25.8,24,8,
126,West Virginia,Big 12,7,6,.538,34.5,31.5,22,22,
127,Western Kentucky,CUSA (East),6,7,.462,25.5,26.8,,,
128,Western Michigan,MAC (West),6,6,.500,33.9,29.0,,,
129,Wisconsin,Big Ten (West),13,1,.929,33.8,13.9,9,3,7
130,Wyoming,MWC (Mountain),8,5,.615,23.5,17.5,,,
