,,,Over,Over,Over,Poin,Poin,Poll,Poll,Poll
Rk,School▲,Conf,W,L,Pct,Off,Def,AP Pre,AP High,AP Post
1,Air Force,MWC (Mountain),5,7,.417,31.4,32.4,,,
2,Akron,MAC (East),7,7,.500,22.1,28.0,,,
3,Alabama,SEC (West),13,1,.929,37.1,11.9,1,1,1
4,Appalachian State,Sun Belt,9,4,.692,33.5,20.2,,,
5,Arizona,Pac-12 (South),7,6,.538,41.3,34.4,,23,
6,Arizona State,Pac-12 (South),7,6,.538,31.8,32.8,,,
7,Arkansas,SEC (West),4,8,.333,28.8,36.2,,,
8,Arkansas State,Sun Belt,7,5,.583,37.8,25.8,,,
9,Army,Ind,10,3,.769,30.7,22.0,,,
10,Auburn,SEC (West),10,4,.714,33.9,18.5,12,4,10
11,Ball State,MAC (West),2,10,.167,17.9,40.7,,,
12,Baylor,Big 12,1,11,.083,24.3,35.9,,,
13,Boise State,MWC (Mountain),11,3,.786,32.5,22.9,,22,22
14,Boston College,ACC (Atlantic),7,6,.538,25.7,22.8,,,
15,Bowling Green State,MAC (East),2,10,.167,25.3,38.0,,,
16,Brigham Young,Ind,4,9,.308,17.1,24.7,,,
17,Buffalo,MAC (East),6,6,.500,28.5,24.8,,,
18,California,Pac-12 (North),5,7,.417,27.8,28.4,,,
19,Central Michigan,MAC (West),8,5,.615,28.5,27.5,,,
20,Charlotte,CUSA (East),1,11,.083,14.2,32.8,,,
21,Cincinnati,American (East),4,8,.333,20.9,31.8,,,
22,Clemson,ACC (Atlantic),12,2,.857,33.3,13.6,5,1,4
23,Coastal Carolina,Sun Belt,3,9,.250,23.7,34.0,,,
24,Colorado,Pac-12 (South),5,7,.417,26.4,28.2,,,
25,Colorado State,MWC (Mountain),7,6,.538,33.4,27.8,,,
26,Connecticut,American (East),3,9,.250,23.6,37.9,,,
27,Duke,ACC (Coastal),7,6,.538,26.5,20.2,,,
28,East Carolina,American (East),3,9,.250,24.9,45.0,,,
29,Eastern Michigan,MAC (West),5,7,.417,26.1,23.3,,,
30,Florida,SEC (East),4,7,.364,22.1,27.3,17,17,
31,Florida Atlantic,CUSA (East),11,3,.786,40.6,22.7,,,
32,Florida International,CUSA (East),8,5,.615,25.6,28.5,,,
33,Florida State,ACC (Atlantic),7,6,.538,27.8,21.2,3,3,
34,Fresno State,MWC (West),10,4,.714,27.1,17.9,,25,
35,Georgia,SEC (East),13,2,.867,35.4,16.4,15,2,2
36,Georgia Southern,Sun Belt,2,10,.167,20.8,32.2,,,
37,Georgia State,Sun Belt,7,5,.583,20.3,24.8,,,
38,Georgia Tech,ACC (Coastal),5,6,.455,28.1,26.5,,,
39,Hawaii,MWC (West),3,9,.250,22.8,33.9,,,
40,Houston,American (West),7,5,.583,28.3,23.8,,,
41,Idaho,Sun Belt,4,8,.333,20.9,25.8,,,
42,Illinois,Big Ten (West),2,10,.167,15.4,31.5,,,
43,Indiana,Big Ten (East),5,7,.417,26.8,25.3,,,
44,Iowa,Big Ten (West),8,5,.615,28.2,19.9,,25,
45,Iowa State,Big 12,8,5,.615,29.2,20.9,,14,
46,Kansas,Big 12,1,11,.083,18.7,43.4,,,
47,Kansas State,Big 12,8,5,.615,32.3,25.2,20,18,
48,Kent State,MAC (East),2,10,.167,12.8,35.1,,,
49,Kentucky,SEC (East),7,6,.538,25.5,28.2,,,
50,Louisiana,Sun Belt,5,7,.417,28.2,40.0,,,
51,Louisiana Tech,CUSA (West),7,6,.538,30.5,25.4,,,
52,Louisiana-Monroe,Sun Belt,4,8,.333,33.9,41.0,,,
53,Louisville,ACC (Atlantic),8,5,.615,38.1,27.4,16,14,
54,LSU,SEC (West),9,4,.692,27.2,18.9,13,12,18
55,Marshall,CUSA (East),8,5,.615,26.7,19.9,,,
56,Maryland,Big Ten (East),4,8,.333,24.1,37.1,,,
57,Massachusetts,Ind,4,8,.333,30.6,31.8,,,
58,Memphis,American (West),10,3,.769,45.5,32.5,,16,25
59,Miami (FL),ACC (Coastal),10,3,.769,29.1,21.0,18,2,13
60,Miami (OH),MAC (East),5,7,.417,24.4,24.1,,,
61,Michigan,Big Ten (East),8,5,.615,25.2,18.8,11,7,
62,Michigan State,Big Ten (East),10,3,.769,24.5,20.0,,13,15
63,Middle Tennessee State,CUSA (East),7,6,.538,25.5,24.7,,,
64,Minnesota,Big Ten (West),5,7,.417,22.1,22.8,,,
65,Mississippi State,SEC (West),9,4,.692,32.0,20.9,,16,19
66,Missouri,SEC (East),7,6,.538,37.5,31.8,,,
67,Navy,American (West),7,6,.538,30.5,26.3,,25,
68,Nebraska,Big Ten (West),4,8,.333,25.8,36.4,,,
69,Nevada,MWC (West),3,9,.250,28.2,33.9,,,
70,Nevada-Las Vegas,MWC (West),5,7,.417,28.8,31.8,,,
71,New Mexico,MWC (Mountain),3,9,.250,20.7,31.8,,,
72,New Mexico State,Sun Belt,7,6,.538,29.3,29.7,,,
73,North Carolina,ACC (Coastal),3,9,.250,26.0,31.3,,,
74,North Carolina State,ACC (Atlantic),9,4,.692,32.2,25.2,,14,23
75,North Texas,CUSA (West),9,5,.643,35.5,35.0,,,
76,Northern Illinois,MAC (West),8,5,.615,28.9,22.0,,,
77,Northwestern,Big Ten (West),10,3,.769,29.2,20.1,,17,17
78,Notre Dame,Ind,10,3,.769,34.2,21.5,,3,11
79,Ohio,MAC (East),9,4,.692,39.1,24.2,,,
80,Ohio State,Big Ten (East),12,2,.857,41.1,19.0,2,2,5
81,Oklahoma,Big 12,12,2,.857,45.1,27.1,7,2,3
82,Oklahoma State,Big 12,10,3,.769,45.0,29.4,10,6,14
83,Old Dominion,CUSA (East),5,7,.417,20.7,31.7,,,
84,Ole Miss,SEC (West),6,6,.500,32.8,34.6,,,
85,Oregon,Pac-12 (North),7,6,.538,36.0,29.0,,24,
86,Oregon State,Pac-12 (North),1,11,.083,20.7,43.0,,,
87,Penn State,Big Ten (East),11,2,.846,41.1,16.5,6,2,8
88,Pitt,ACC (Coastal),5,7,.417,23.9,26.6,,,
89,Purdue,Big Ten (West),7,6,.538,25.2,20.5,,,
90,Rice,CUSA (West),1,11,.083,16.3,35.8,,,
91,Rutgers,Big Ten (East),4,8,.333,18.0,28.3,,,
92,San Diego State,MWC (West),10,3,.769,30.8,20.2,,19,
93,San Jose State,MWC (West),2,11,.154,15.8,41.7,,,
94,SMU,American (West),7,6,.538,37.8,36.7,,,
95,South Alabama,Sun Belt,4,8,.333,19.8,26.5,,,
96,South Carolina,SEC (East),9,4,.692,24.2,20.7,,,
97,South Florida,American (East),10,2,.833,38.3,23.5,19,16,21
98,Southern Mississippi,CUSA (West),8,5,.615,29.2,24.5,,,
99,Stanford,Pac-12 (North),9,5,.643,32.4,22.7,14,14,20
100,Syracuse,ACC (Atlantic),4,8,.333,27.4,32.2,,,
101,Temple,American (East),7,6,.538,25.1,25.8,,,
102,Tennessee,SEC (East),4,8,.333,19.8,29.1,25,23,
103,Texas,Big 12,7,6,.538,29.5,21.2,23,23,
