,,,Over,Over,Over,Poin,Poin,Poll,Poll,Poll
61,Michigan State,Big Ten (East),3,9,.250,24.1,27.8,12,8,
62,Middle Tennessee State,CUSA (East),8,5,.615,39.7,35.8,,,
63,Minnesota,Big Ten (West),9,4,.692,29.3,22.1,,,
64,Mississippi State,SEC (West),6,7,.462,30.4,31.8,,,
65,Missouri,SEC (East),4,8,.333,31.4,31.5,,,
66,Navy,American (West),9,5,.643,37.9,31.0,,20,
67,Nebraska,Big Ten (West),9,4,.692,26.5,23.9,,7,
68,Nevada,MWC (West),5,7,.417,25.4,29.0,,,
69,Nevada-Las Vegas,MWC (West),4,8,.333,31.6,36.8,,,
70,New Mexico,MWC (Mountain),9,4,.692,36.7,31.5,,,
71,New Mexico State,Sun Belt,3,9,.250,24.8,38.8,,,
72,North Carolina,ACC (Coastal),8,5,.615,32.3,24.9,22,15,
73,North Carolina State,ACC (Atlantic),7,6,.538,27.0,22.8,,,
74,North Texas,CUSA (West),5,8,.385,24.8,32.6,,,
75,Northern Illinois,MAC (West),5,7,.417,30.5,30.3,,,
76,Northwestern,Big Ten (West),7,6,.538,26.0,22.2,,,
77,Notre Dame,Ind,4,8,.333,30.9,27.8,10,10,
78,Ohio,MAC (East),8,6,.571,26.3,22.6,,,
79,Ohio State,Big Ten (East),11,2,.846,39.4,15.5,6,2,6
80,Oklahoma,Big 12,11,2,.846,43.9,28.8,3,3,5
81,Oklahoma State,Big 12,10,3,.769,38.6,26.5,21,10,11
82,Old Dominion,CUSA (East),10,3,.769,35.1,27.2,,,
83,Ole Miss,SEC (West),5,7,.417,32.6,34.0,11,11,
84,Oregon,Pac-12 (North),4,8,.333,35.4,41.4,24,22,
85,Oregon State,Pac-12 (North),4,8,.333,26.2,30.5,,,
86,Penn State,Big Ten (East),11,3,.786,37.6,25.4,,5,7
87,Pitt,ACC (Coastal),8,5,.615,40.9,35.2,,22,
88,Purdue,Big Ten (West),3,9,.250,24.6,38.3,,,
89,Rice,CUSA (West),3,9,.250,25.3,37.3,,,
90,Rutgers,Big Ten (East),2,10,.167,15.7,37.5,,,
91,San Diego State,MWC (West),11,3,.786,35.2,20.2,,19,25
92,San Jose State,MWC (West),4,8,.333,24.4,34.7,,,
93,SMU,American (West),5,7,.417,27.7,36.3,,,
94,South Alabama,Sun Belt,6,7,.462,25.4,27.0,,,
95,South Carolina,SEC (East),6,7,.462,20.8,26.5,,,
96,South Florida,American (East),11,2,.846,43.8,31.6,,19,19
97,Southern Mississippi,CUSA (West),7,6,.538,32.8,29.5,,,
98,Stanford,Pac-12 (North),10,3,.769,26.3,20.4,8,7,12
99,Syracuse,ACC (Atlantic),4,8,.333,25.7,38.6,,,
100,Temple,American (East),10,4,.714,32.4,18.4,,23,
101,Tennessee,SEC (East),9,4,.692,36.4,28.8,9,9,22
102,Texas,Big 12,5,7,.417,31.9,31.5,,11,
103,Texas A&M,SEC (West),8,5,.615,34.8,24.5,,6,
104,Texas Christian,Big 12,6,7,.462,31.0,28.0,13,13,
105,Texas State,Sun Belt,2,10,.167,18.6,41.1,,,
106,Texas Tech,Big 12,5,7,.417,43.7,43.5,,,
107,Toledo,MAC (West),9,4,.692,38.0,25.7,,,
108,Troy,Sun Belt,10,3,.769,33.7,22.1,,25,
109,Tulane,American (West),4,8,.333,24.1,27.7,,,
110,Tulsa,American (West),10,3,.769,42.5,29.8,,,
111,UCF,American (East),6,7,.462,28.8,24.6,,,
112,UCLA,Pac-12 (South),4,8,.333,24.9,27.5,16,16,
113,USC,Pac-12 (South),10,3,.769,34.4,24.2,20,3,3
114,Utah,Pac-12 (South),9,4,.692,29.8,23.9,,11,23
115,Utah State,MWC (Mountain),3,9,.250,23.9,29.3,,,
116,UTEP,CUSA (West),4,8,.333,26.3,34.9,,,
117,UTSA,CUSA (West),6,7,.462,29.2,27.9,,,
118,Vanderbilt,SEC (East),6,7,.462,23.0,24.0,,,
119,Virginia,ACC (Coastal),2,10,.167,22.5,33.8,,,
120,Virginia Tech,ACC (Coastal),10,4,.714,35.0,22.8,,16,16
121,Wake Forest,ACC (Atlantic),7,6,.538,20.4,22.2,,,
122,Washington,Pac-12 (North),12,2,.857,41.8,17.7,14,4,4
123,Washington State,Pac-12 (North),8,5,.615,38.2,26.4,,20,
124,West Virginia,Big 12,10,3,.769,31.2,24.0,,10,18
125,Western Kentucky,CUSA (East),11,3,.786,45.5,24.6,,,
126,Western Michigan,MAC (West),13,1,.929,41.6,19.8,,12,15
127,Wisconsin,Big Ten (West),11,3,.786,28.4,15.6,,5,9
128,Wyoming,MWC (Mountain),8,6,.571,35.9,34.1,,,
