,,,Over,Over,Over,Poin,Poin,Poll,Poll,Poll
Rk,School▲,Conf,W,L,Pct,Off,Def,AP Pre,AP High,AP Rank
1,Air Force,MWC (Mountain),10,3,.769,35.2,26.2,,,
2,Akron,MAC (East),5,7,.417,27.4,33.6,,,
3,Alabama,SEC (West),14,1,.933,38.8,13.0,1,1,2
4,Appalachian State,Sun Belt,10,3,.769,29.2,17.8,,,
5,Arizona,Pac-12 (South),3,9,.250,24.8,38.3,,,
6,Arizona State,Pac-12 (South),5,7,.417,33.3,39.8,,,
7,Arkansas,SEC (West),7,6,.538,30.3,31.1,,16,
8,Arkansas State,Sun Belt,8,5,.615,27.3,21.5,,,
9,Army,Ind,8,5,.615,29.9,19.8,,,
10,Auburn,SEC (West),8,5,.615,31.2,17.1,,8,24
11,Ball State,MAC (West),4,8,.333,27.0,30.1,,,
12,Baylor,Big 12,7,6,.538,34.6,29.0,23,8,
13,Boise State,MWC (Mountain),10,3,.769,33.8,23.3,,13,
14,Boston College,ACC (Atlantic),7,6,.538,20.4,25.0,,,
15,Bowling Green State,MAC (East),4,8,.333,24.8,38.3,,,
16,Brigham Young,Ind,9,4,.692,29.5,19.5,,,
17,Buffalo,MAC (East),2,10,.167,16.5,32.3,,,
18,California,Pac-12 (North),5,7,.417,37.1,42.6,,,
19,Central Michigan,MAC (West),6,7,.462,26.3,30.3,,,
20,Charlotte,CUSA (East),4,8,.333,25.2,34.6,,,
21,Cincinnati,American (East),4,8,.333,19.3,26.9,,,
22,Clemson,ACC (Atlantic),14,1,.933,39.2,18.0,2,1,1
23,Colorado,Pac-12 (South),10,4,.714,31.1,21.7,,9,17
24,Colorado State,MWC (Mountain),7,6,.538,35.3,30.4,,,
25,Connecticut,American (East),3,9,.250,14.8,28.1,,,
26,Duke,ACC (Coastal),4,8,.333,23.3,28.2,,,
27,East Carolina,American (East),3,9,.250,27.0,36.1,,,
28,Eastern Michigan,MAC (West),7,6,.538,29.6,29.8,,,
29,Florida,SEC (East),9,4,.692,23.9,16.8,25,10,14
30,Florida Atlantic,CUSA (East),3,9,.250,26.4,39.8,,,
31,Florida International,CUSA (East),4,8,.333,24.0,34.8,,,
32,Florida State,ACC (Atlantic),10,3,.769,35.1,25.0,4,2,8
33,Fresno State,MWC (West),1,11,.083,17.7,30.9,,,
34,Georgia,SEC (East),8,5,.615,24.5,24.0,18,9,
35,Georgia Southern,Sun Belt,5,7,.417,26.6,26.5,,,
36,Georgia State,Sun Belt,3,9,.250,19.9,26.6,,,
37,Georgia Tech,ACC (Coastal),9,4,.692,28.2,24.5,,,
38,Hawaii,MWC (West),7,7,.500,28.3,37.3,,,
39,Houston,American (West),9,4,.692,35.8,23.5,15,6,
40,Idaho,Sun Belt,9,4,.692,30.8,31.3,,,
41,Illinois,Big Ten (West),3,9,.250,19.7,31.9,,,
42,Indiana,Big Ten (East),6,7,.462,25.8,27.2,,,
43,Iowa,Big Ten (West),8,5,.615,24.9,18.8,17,13,
44,Iowa State,Big 12,3,9,.250,27.7,31.3,,,
45,Kansas,Big 12,2,10,.167,20.3,37.3,,,
46,Kansas State,Big 12,9,4,.692,32.2,22.3,,,
47,Kent State,MAC (East),3,9,.250,20.6,28.7,,,
48,Kentucky,SEC (East),7,6,.538,30.0,31.3,,,
49,Louisiana,Sun Belt,6,7,.462,23.6,25.3,,,
50,Louisiana Tech,CUSA (West),9,5,.643,44.3,33.6,,,
51,Louisiana-Monroe,Sun Belt,4,8,.333,23.3,39.1,,,
52,Louisville,ACC (Atlantic),9,4,.692,42.5,23.8,19,3,21
53,LSU,SEC (West),8,4,.667,28.3,15.8,5,5,13
54,Marshall,CUSA (East),3,9,.250,26.4,35.3,,,
55,Maryland,Big Ten (East),6,7,.462,25.8,29.5,,,
56,Massachusetts,Ind,2,10,.167,23.3,35.5,,,
57,Memphis,American (West),8,5,.615,38.8,28.8,,,
58,Miami (FL),ACC (Coastal),9,4,.692,34.3,18.5,,10,20
59,Miami (OH),MAC (East),6,7,.462,22.8,23.8,,,
60,Michigan,Big Ten (East),10,3,.769,40.3,14.1,7,2,10
