,,,Over,Over,Over,Poin,Poin,Poll,Poll,Poll
55,Michigan,Big Ten,5,7,.417,29.5,27.5,,22,
56,Michigan State,Big Ten,6,7,.462,29.7,26.3,,,
57,Middle Tennessee State,Sun Belt,10,3,.769,32.0,23.7,,,
58,Minnesota,Big Ten,6,7,.462,20.9,23.8,,,
59,Mississippi State,SEC (West),5,7,.417,25.6,26.8,,,
60,Missouri,Big 12 (North),8,5,.615,29.0,25.4,,24,
61,Navy,Ind,10,4,.714,28.0,19.4,,,
62,Nebraska,Big 12 (North),10,4,.714,25.1,10.4,24,14,14
63,Nevada,WAC,8,5,.615,38.2,28.5,,,
64,Nevada-Las Vegas,MWC,5,7,.417,24.8,32.4,,,
65,New Mexico,MWC,1,11,.083,16.3,35.9,,,
66,New Mexico State,WAC,3,10,.231,11.5,31.6,,,
67,North Carolina,ACC (Coastal),8,5,.615,23.8,17.1,21,19,
68,North Carolina State,ACC (Atlantic),5,7,.417,30.3,31.2,,,
69,North Texas,Sun Belt,2,10,.167,26.6,35.6,,,
70,Northern Illinois,MAC (West),7,6,.538,28.6,21.6,,,
71,Northwestern,Big Ten,8,5,.615,25.9,24.5,,,
72,Notre Dame,Ind,6,6,.500,30.1,25.9,23,18,
73,Ohio,MAC (East),9,5,.643,24.8,21.3,,,
74,Ohio State,Big Ten,11,2,.846,29.0,12.5,6,5,5
75,Oklahoma,Big 12 (South),8,5,.615,31.1,14.5,3,3,
76,Oklahoma State,Big 12 (South),9,4,.692,28.4,21.7,9,5,
77,Ole Miss,SEC (West),9,4,.692,29.5,17.7,8,4,20
78,Oregon,Pac-10,10,3,.769,36.1,23.8,16,7,11
79,Oregon State,Pac-10,8,5,.615,31.5,25.0,,13,
80,Penn State,Big Ten,11,2,.846,28.8,12.2,9,5,9
81,Pitt,Big East,10,3,.769,32.1,19.8,,8,15
82,Purdue,Big Ten,5,7,.417,27.8,29.1,,,
83,Rice,CUSA (West),2,10,.167,18.3,43.1,,,
84,Rutgers,Big East,9,4,.692,28.8,17.9,,25,
85,San Diego State,MWC,4,8,.333,23.3,30.5,,,
86,San Jose State,WAC,2,10,.167,13.8,34.5,,,
87,SMU,CUSA (West),8,5,.615,29.2,27.6,,,
88,South Carolina,SEC (East),7,6,.538,20.6,20.4,,21,
89,South Florida,Big East,8,5,.615,26.5,19.8,,21,
90,Southern Mississippi,CUSA (East),7,6,.538,32.9,25.8,,,
91,Stanford,Pac-10,8,5,.615,35.5,26.5,,14,
92,Syracuse,Big East,4,8,.333,21.2,27.9,,,
93,Temple,MAC (East),9,4,.692,29.5,22.3,,,
94,Tennessee,SEC (East),7,6,.538,29.3,22.2,,,
95,Texas,Big 12 (South),13,1,.929,39.3,16.7,2,2,2
96,Texas A&M,Big 12 (South),6,7,.462,32.8,33.5,,,
97,Texas Christian,MWC,12,1,.923,38.3,12.8,17,3,6
98,Texas Tech,Big 12 (South),9,4,.692,37.0,22.5,,21,21
99,Toledo,MAC (West),5,7,.417,29.7,37.7,,,
100,Troy,Sun Belt,9,4,.692,33.7,29.8,,,
101,Tulane,CUSA (West),3,9,.250,16.1,36.7,,,
102,Tulsa,CUSA (West),5,7,.417,29.3,27.3,,,
103,UAB,CUSA (East),5,7,.417,27.8,32.3,,,
104,UCF,CUSA (East),8,5,.615,26.2,22.5,,,
105,UCLA,Pac-10,7,6,.538,22.0,21.2,,,
106,USC,Pac-10,9,4,.692,26.5,19.8,4,3,22
107,Utah,MWC,10,3,.769,29.8,20.2,19,16,18
108,Utah State,WAC,4,8,.333,29.1,34.0,,,
109,UTEP,CUSA (West),4,8,.333,29.8,33.5,,,
110,Vanderbilt,SEC (East),2,10,.167,16.3,23.3,,,
111,Virginia,ACC (Coastal),3,9,.250,19.3,26.3,,,
112,Virginia Tech,ACC (Coastal),10,3,.769,31.8,15.6,7,4,10
113,Wake Forest,ACC (Atlantic),5,7,.417,26.3,26.3,,,
114,Washington,Pac-10,5,7,.417,26.1,26.7,,24,
115,Washington State,Pac-10,1,11,.083,12.0,38.5,,,
116,West Virginia,Big East,9,4,.692,26.2,21.7,,18,25
117,Western Kentucky,Sun Belt,0,12,.000,20.4,39.6,,,
118,Western Michigan,MAC (West),5,7,.417,24.7,27.5,,,
119,Wisconsin,Big Ten,10,3,.769,31.8,21.8,,16,16
120,Wyoming,MWC,7,6,.538,18.3,27.3,,,
