,,,Over,Over,Over,Poin,Poin,Poll,Poll,Poll
Rk,School▲,Conf,W,L,Pct,Off,Def,AP Pre,AP High,AP Rank
1,Air Force,MWC,8,5,.615,29.7,15.7,,,
2,Akron,MAC (East),3,9,.250,19.3,28.8,,,
3,Alabama,SEC (West),14,0,1.000,32.1,11.7,5,1,1
4,Arizona,Pac-10,8,5,.615,27.4,23.9,,18,
5,Arizona State,Pac-10,4,8,.333,22.3,21.1,,,
6,Arkansas,SEC (West),8,5,.615,36.0,25.1,,,
7,Arkansas State,Sun Belt,4,8,.333,22.7,23.3,,,
8,Army,Ind,5,7,.417,15.3,21.9,,,
9,Auburn,SEC (West),8,5,.615,33.3,27.5,,17,
10,Ball State,MAC (West),2,10,.167,19.2,28.2,,,
11,Baylor,Big 12 (South),4,8,.333,20.8,27.3,,,
12,Boise State,WAC,14,0,1.000,42.2,17.1,14,4,4
13,Boston College,ACC (Atlantic),8,5,.615,24.8,19.8,,,
14,Bowling Green State,MAC (East),7,6,.538,28.5,27.5,,,
15,Brigham Young,MWC,11,2,.846,35.5,21.5,20,7,12
16,Buffalo,MAC (East),5,7,.417,24.1,23.8,,,
17,California,Pac-10,8,5,.615,29.1,25.5,12,6,
18,Central Michigan,MAC (West),12,2,.857,33.9,18.9,,23,23
19,Cincinnati,Big East,12,1,.923,38.6,23.1,,4,8
20,Clemson,ACC (Atlantic),9,5,.643,31.1,20.4,,15,24
21,Colorado,Big 12 (North),3,9,.250,22.3,28.8,,,
22,Colorado State,MWC,3,9,.250,21.7,29.8,,,
23,Connecticut,Big East,8,5,.615,31.2,23.6,,,
24,Duke,ACC (Coastal),5,7,.417,25.2,28.3,,,
25,East Carolina,CUSA (East),9,5,.643,27.0,21.9,,,
26,Eastern Michigan,MAC (West),0,12,.000,16.4,38.3,,,
27,Florida,SEC (East),13,1,.929,35.9,12.4,1,1,3
28,Florida Atlantic,Sun Belt,5,7,.417,27.4,33.8,,,
29,Florida International,Sun Belt,3,9,.250,22.9,35.3,,,
30,Florida State,ACC (Atlantic),7,6,.538,30.1,30.0,18,18,
31,Fresno State,WAC,8,5,.615,33.8,28.4,,,
32,Georgia,SEC (East),8,5,.615,28.9,25.9,13,13,
33,Georgia Tech,ACC (Coastal),11,3,.786,33.8,24.8,15,7,13
34,Hawaii,WAC,6,7,.462,22.8,29.5,,,
35,Houston,CUSA (West),10,4,.714,42.2,30.1,,12,
36,Idaho,WAC,8,5,.615,32.7,36.0,,,
37,Illinois,Big Ten,3,9,.250,24.2,30.2,,,
38,Indiana,Big Ten,4,8,.333,23.5,29.5,,,
39,Iowa,Big Ten,11,2,.846,23.2,15.4,22,7,7
40,Iowa State,Big 12 (North),7,6,.538,20.5,21.8,,,
41,Kansas,Big 12 (North),5,7,.417,29.4,28.4,25,16,
42,Kansas State,Big 12 (North),6,6,.500,23.0,23.3,,,
43,Kent State,MAC (East),5,7,.417,19.3,22.4,,,
44,Kentucky,SEC (East),7,6,.538,26.1,22.7,,,
45,Louisiana,Sun Belt,6,6,.500,22.2,30.3,,,
46,Louisiana Tech,WAC,4,8,.333,29.2,25.8,,,
47,Louisiana-Monroe,Sun Belt,6,6,.500,25.6,27.3,,,
48,Louisville,Big East,4,8,.333,18.1,26.3,,,
49,LSU,SEC (West),9,4,.692,24.8,16.2,11,4,17
50,Marshall,CUSA (East),7,6,.538,21.8,24.3,,,
51,Maryland,ACC (Atlantic),2,10,.167,21.3,31.3,,,
52,Memphis,CUSA (East),2,10,.167,21.8,34.8,,,
53,Miami (FL),ACC (Coastal),9,4,.692,30.3,22.2,,8,19
54,Miami (OH),MAC (East),1,11,.083,15.6,34.2,,,
