,,,Over,Over,Over,Poin,Poin,Poll,Poll,Poll
Rk,School▲,Conf,W,L,Pct,Off,Def,AP Pre,AP High,AP Rank
96,Texas A&M,Big 12 (South),4,8,.333,25.0,37.4,,,
97,Texas Christian,MWC,11,2,.846,33.6,11.3,,7,7
98,Texas Tech,Big 12 (South),11,2,.846,43.8,27.8,12,2,12
99,Toledo,MAC (West),3,9,.250,22.4,31.4,,,
100,Troy,Sun Belt,8,5,.615,32.8,21.3,,,
101,Tulane,CUSA (West),2,10,.167,16.7,34.5,,,
102,Tulsa,CUSA (West),11,3,.786,47.2,27.9,,19,
103,UAB,CUSA (East),4,8,.333,22.8,31.3,,,
104,UCF,CUSA (East),4,8,.333,16.6,24.1,,,
105,UCLA,Pac-10,4,8,.333,17.7,29.0,,23,
106,USC,Pac-10,12,1,.923,37.5,9.0,3,1,3
107,Utah,MWC,13,0,1.000,36.9,17.2,,2,2
108,Utah State,WAC,3,9,.250,24.0,34.7,,,
109,UTEP,CUSA (West),5,7,.417,32.9,37.0,,,
110,Vanderbilt,SEC (East),7,6,.538,19.2,19.6,,13,
111,Virginia,ACC (Coastal),5,7,.417,16.1,21.7,,,
112,Virginia Tech,ACC (Coastal),10,4,.714,22.1,16.7,17,15,15
113,Wake Forest,ACC (Atlantic),8,5,.615,21.0,18.3,23,16,
114,Washington,Pac-10,0,12,.000,13.3,38.6,,,
115,Washington State,Pac-10,2,11,.154,12.7,43.8,,,
116,West Virginia,Big East,9,4,.692,24.5,17.0,8,8,23
117,Western Kentucky,Ind,2,10,.167,17.5,27.2,,,
118,Western Michigan,MAC (West),9,4,.692,28.6,24.9,,,
119,Wisconsin,Big Ten,7,6,.538,27.5,26.5,13,8,
120,Wyoming,MWC,4,8,.333,12.7,27.8,,,
