,,,Over,Over,Over,Poin,Poin,Poll,Poll,Poll
Rk,School▲,Conf,W,L,Pct,Off,Def,AP Curr,AP Pre,AP High
1,Air Force,MWC (Mountain),5,7,.417,30.3,25.8,,,
2,Akron,MAC (East),4,8,.333,18.9,27.2,,,
3,Alabama,SEC (West),14,1,.933,45.6,18.1,2,1,1
4,Alabama-Birmingham,CUSA (West),11,3,.786,29.9,17.0,,,
5,Appalachian State,Sun Belt (East),11,2,.846,37.3,15.5,,,25
6,Arizona,Pac-12 (South),5,7,.417,31.3,32.6,,,
7,Arizona State,Pac-12 (South),7,6,.538,29.9,25.5,,,23
8,Arkansas,SEC (West),2,10,.167,21.7,34.8,,,
9,Arkansas State,Sun Belt (West),8,5,.615,30.3,25.6,,,
10,Army,Ind,11,2,.846,32.8,17.7,19,,19
11,Auburn,SEC (West),8,5,.615,30.9,19.2,,9,7
12,Ball State,MAC (West),4,8,.333,24.2,32.4,,,
13,Baylor,Big 12,7,6,.538,29.5,31.7,,,
14,Boise State,MWC (Mountain),10,3,.769,35.4,22.1,23,22,17
15,Boston College,ACC (Atlantic),7,5,.583,32.0,25.7,,,17
16,Bowling Green State,MAC (East),3,9,.250,24.3,40.0,,,
17,Brigham Young,Ind,7,6,.538,27.2,21.4,,,20
18,Buffalo,MAC (East),10,4,.714,34.6,25.9,,,
19,California,Pac-12 (North),7,6,.538,21.5,20.4,,,24
20,Central Florida,American (East),12,1,.923,43.2,22.7,11,21,7
21,Central Michigan,MAC (West),1,11,.083,15.0,27.3,,,
22,Charlotte,CUSA (East),5,7,.417,21.7,26.6,,,
23,Cincinnati,American (East),11,2,.846,34.9,17.2,24,,19
24,Clemson,ACC (Atlantic),15,0,1.000,44.3,13.1,1,2,1
25,Coastal Carolina,Sun Belt (East),5,7,.417,26.7,33.2,,,
26,Colorado,Pac-12 (South),5,7,.417,27.1,27.3,,,19
27,Colorado State,MWC (Mountain),3,9,.250,22.8,36.8,,,
28,Connecticut,American (East),1,11,.083,22.2,50.4,,,
29,Duke,ACC (Coastal),8,5,.615,29.4,27.4,,,22
30,East Carolina,American (East),3,9,.250,22.8,37.3,,,
31,Eastern Michigan,MAC (West),7,6,.538,27.0,22.1,,,
32,Florida,SEC (East),10,3,.769,35.0,20.0,7,,7
33,Florida Atlantic,CUSA (East),5,7,.417,31.1,31.8,,,
34,Florida International,CUSA (East),9,4,.692,34.6,25.2,,,
35,Florida State,ACC (Atlantic),5,7,.417,21.9,31.5,,19,19
36,Fresno State,MWC (West),12,2,.857,34.6,14.1,18,,16
37,Georgia,SEC (East),11,3,.786,37.9,19.2,7,3,2
38,Georgia Southern,Sun Belt (East),10,3,.769,30.5,21.5,,,
39,Georgia State,Sun Belt (East),2,10,.167,23.9,37.4,,,
40,Georgia Tech,ACC (Coastal),7,6,.538,33.6,29.3,,,
41,Hawaii,MWC (West),8,6,.571,30.8,35.1,,,
42,Houston,American (West),8,5,.615,43.9,37.2,,,17
43,Illinois,Big Ten (West),4,8,.333,26.0,39.4,,,
44,Indiana,Big Ten (East),5,7,.417,26.4,29.9,,,
45,Iowa,Big Ten (West),9,4,.692,31.2,17.8,25,,18
46,Iowa State,Big 12,8,5,.615,26.8,22.9,,,18
47,Kansas,Big 12,3,9,.250,23.8,30.0,,,
48,Kansas State,Big 12,5,7,.417,22.5,25.4,,,
49,Kent State,MAC (East),2,10,.167,23.9,36.7,,,
50,Kentucky,SEC (East),10,3,.769,26.6,16.8,12,,11
51,Liberty,Ind,6,6,.500,33.3,36.8,,,
52,Louisiana,Sun Belt (West),7,7,.500,31.9,34.2,,,
53,Louisiana State,SEC (West),10,3,.769,32.4,21.8,6,25,4
54,Louisiana Tech,CUSA (West),8,5,.615,24.7,23.0,,,
55,Louisiana-Monroe,Sun Belt (West),6,6,.500,26.6,31.8,,,
56,Louisville,ACC (Atlantic),2,10,.167,19.8,44.1,,,
57,Marshall,CUSA (East),9,4,.692,28.2,21.8,,,
58,Maryland,Big Ten (East),5,7,.417,28.5,28.7,,,
59,Massachusetts,Ind,4,8,.333,32.8,42.9,,,
60,Memphis,American (West),8,6,.571,42.9,31.9,,,
61,Miami (FL),ACC (Coastal),7,6,.538,28.8,19.5,,8,8
62,Miami (OH),MAC (East),6,6,.500,28.1,25.5,,,
63,Michigan,Big Ten (East),10,3,.769,35.2,19.4,14,14,4
64,Michigan State,Big Ten (East),7,6,.538,18.7,17.2,,11,11
65,Middle Tennessee State,CUSA (East),8,6,.571,28.0,26.7,,,
66,Minnesota,Big Ten (West),7,6,.538,28.9,26.5,,,
67,Mississippi,SEC (West),5,7,.417,33.9,36.2,,,
68,Mississippi State,SEC (West),8,5,.615,28.5,13.2,,18,14
69,Missouri,SEC (East),8,5,.615,36.6,25.5,,,24
70,Navy,American (West),3,10,.231,25.0,33.5,,,
71,Nebraska,Big Ten (West),4,8,.333,30.0,31.3,,,
72,Nevada,MWC (West),8,5,.615,31.1,26.9,,,
73,Nevada-Las Vegas,MWC (West),4,8,.333,28.8,37.3,,,
74,New Mexico,MWC (Mountain),3,9,.250,26.6,36.2,,,
75,New Mexico State,Ind,3,9,.250,25.3,41.3,,,
76,North Carolina,ACC (Coastal),2,9,.182,27.4,34.5,,,
77,North Carolina State,ACC (Atlantic),9,4,.692,33.8,24.9,,,16
78,North Texas,CUSA (West),9,4,.692,34.6,24.2,,,
79,Northern Illinois,MAC (West),8,6,.571,20.1,22.6,,,
80,Northwestern,Big Ten (West),9,5,.643,24.2,23.2,21,,20
81,Notre Dame,Ind,12,1,.923,31.4,18.2,5,12,3
82,Ohio,MAC (East),9,4,.692,40.1,24.6,,,
83,Ohio State,Big Ten (East),13,1,.929,42.4,25.5,3,5,2
84,Oklahoma,Big 12,12,2,.857,48.4,33.3,4,7,4
85,Oklahoma State,Big 12,7,6,.538,38.4,32.5,,,15
86,Old Dominion,CUSA (East),4,8,.333,30.8,35.9,,,
87,Oregon,Pac-12 (North),9,4,.692,34.8,25.4,,24,12
88,Oregon State,Pac-12 (North),2,10,.167,26.1,45.7,,,
89,Penn State,Big Ten (East),9,4,.692,33.8,20.5,17,10,8
90,Pittsburgh,ACC (Coastal),7,7,.500,25.6,27.8,,,24
91,Purdue,Big Ten (West),6,7,.462,30.5,30.0,,,
92,Rice,CUSA (West),2,11,.154,18.9,36.0,,,
93,Rutgers,Big Ten (East),1,11,.083,13.5,31.4,,,
94,San Diego State,MWC (West),7,6,.538,20.6,22.2,,,
95,San Jose State,MWC (West),1,11,.083,21.3,36.6,,,
96,South Alabama,Sun Belt (West),3,9,.250,24.2,38.8,,,
97,South Carolina,SEC (East),7,6,.538,30.1,27.2,,,24
98,South Florida,American (East),7,6,.538,28.5,32.0,,,21
99,Southern California,Pac-12 (South),5,7,.417,26.1,27.0,,15,15
100,Southern Methodist,American (West),5,7,.417,30.4,35.3,,,
101,Southern Mississippi,CUSA (West),6,5,.545,26.2,19.8,,,
102,Stanford,Pac-12 (North),9,4,.692,28.4,22.9,,13,7
103,Syracuse,ACC (Atlantic),10,3,.769,40.2,27.0,15,,12
104,Temple,American (East),8,5,.615,34.9,27.1,,,
105,Tennessee,SEC (East),5,7,.417,22.8,27.9,,,
106,Texas,Big 12,10,4,.714,31.1,25.9,9,23,6
107,Texas A&M,SEC (West),9,4,.692,36.0,25.3,16,,16
108,Texas Christian,Big 12,7,6,.538,23.5,23.1,,16,15
109,Texas State,Sun Belt (West),3,9,.250,19.8,27.7,,,
110,Texas Tech,Big 12,5,7,.417,37.3,31.1,,,25
111,Texas-El Paso,CUSA (West),1,11,.083,17.7,32.8,,,
112,Texas-San Antonio,CUSA (West),3,9,.250,14.2,31.2,,,
113,Toledo,MAC (West),7,6,.538,40.4,30.5,,,
114,Troy,Sun Belt (East),10,3,.769,30.7,22.0,,,
115,Tulane,American (West),7,6,.538,26.8,27.5,,,
116,Tulsa,American (West),3,9,.250,24.1,29.6,,,
117,UCLA,Pac-12 (South),3,9,.250,24.6,34.1,,,
118,Utah,Pac-12 (South),9,5,.643,28.1,19.4,,,16
119,Utah State,MWC (Mountain),11,2,.846,47.5,22.2,22,,14
120,Vanderbilt,SEC (East),6,7,.462,28.5,26.6,,,
121,Virginia,ACC (Coastal),8,5,.615,28.5,20.1,,,23
122,Virginia Tech,ACC (Coastal),6,7,.462,29.8,31.0,,20,12
123,Wake Forest,ACC (Atlantic),7,6,.538,32.8,33.3,,,
124,Washington,Pac-12 (North),10,4,.714,26.4,16.4,13,6,6
125,Washington State,Pac-12 (North),11,2,.846,37.5,23.3,10,,7
126,West Virginia,Big 12,8,4,.667,40.3,27.2,20,17,6
127,Western Kentucky,CUSA (East),3,9,.250,21.1,27.8,,,
128,Western Michigan,MAC (West),7,6,.538,32.0,34.5,,,
129,Wisconsin,Big Ten (West),8,5,.615,29.7,22.6,,4,4
130,Wyoming,MWC (Mountain),6,6,.500,20.7,22.0,,,
