,,,Over,Over,Over,Poin,Poin,Poll,Poll,Poll
Rk,School▲,Conf,W,L,Pct,Off,Def,AP Pre,AP High,AP Rank
1,Air Force,MWC (Mountain),8,6,.571,33.8,25.5,,,
2,Akron,MAC (East),8,5,.615,23.9,21.5,,,
3,Alabama,SEC (West),14,1,.933,35.1,15.1,3,1,1
4,Appalachian State,Sun Belt,11,2,.846,36.7,19.1,,,
5,Arizona,Pac-12 (South),7,6,.538,37.4,35.8,22,16,
6,Arizona State,Pac-12 (South),6,7,.462,34.6,33.5,15,15,
7,Arkansas,SEC (West),8,5,.615,35.9,27.4,18,18,
8,Arkansas State,Sun Belt,9,4,.692,40.0,30.2,,,
9,Army,Ind,2,10,.167,22.1,27.8,,,
10,Auburn,SEC (West),7,6,.538,27.5,26.0,6,6,
11,Ball State,MAC (West),3,9,.250,23.1,35.8,,,
12,Baylor,Big 12,10,3,.769,48.1,28.3,4,2,13
13,Boise State,MWC (Mountain),9,4,.692,39.1,20.2,23,20,
14,Boston College,ACC (Atlantic),3,9,.250,17.2,15.3,,,
15,Bowling Green State,MAC (East),10,4,.714,42.2,28.9,,,
16,Brigham Young,Ind,9,4,.692,33.7,22.8,,19,
17,Buffalo,MAC (East),5,7,.417,26.7,27.6,,,
18,California,Pac-12 (North),8,5,.615,37.9,30.7,,20,
19,Central Michigan,MAC (West),7,6,.538,25.8,22.0,,,
20,Charlotte,CUSA (East),2,10,.167,17.5,36.3,,,
21,Cincinnati,American (East),7,6,.538,33.8,31.2,,,
22,Clemson,ACC (Atlantic),14,1,.933,38.5,21.7,12,1,2
23,Colorado,Pac-12 (South),4,9,.308,24.6,27.5,,,
24,Colorado State,MWC (Mountain),7,6,.538,29.6,27.2,,,
25,Connecticut,American (East),6,7,.462,17.2,19.5,,,
26,Duke,ACC (Coastal),8,5,.615,31.5,25.4,,22,
27,East Carolina,American (East),5,7,.417,27.4,26.0,,,
28,Eastern Michigan,MAC (West),1,11,.083,25.4,42.1,,,
29,Florida,SEC (East),10,4,.714,23.2,18.3,,8,25
30,Florida Atlantic,CUSA (East),3,9,.250,22.5,28.8,,,
31,Florida International,CUSA (East),5,7,.417,25.5,29.8,,,
32,Florida State,ACC (Atlantic),10,3,.769,31.7,17.5,10,9,14
33,Fresno State,MWC (West),3,9,.250,22.3,38.1,,,
34,Georgia,SEC (East),10,3,.769,26.3,16.9,9,7,
35,Georgia Southern,Sun Belt,9,4,.692,36.5,23.5,,,
36,Georgia State,Sun Belt,6,7,.462,26.9,28.3,,,
37,Georgia Tech,ACC (Coastal),3,9,.250,29.3,25.8,16,14,
38,Hawaii,MWC (West),3,10,.231,17.6,35.6,,,
39,Houston,American (West),13,1,.929,40.4,20.7,,8,8
40,Idaho,Sun Belt,4,8,.333,30.3,42.1,,,
41,Illinois,Big Ten (West),5,7,.417,22.7,23.3,,,
42,Indiana,Big Ten (East),6,7,.462,36.5,37.6,,,
43,Iowa,Big Ten (West),12,2,.857,30.9,20.4,,3,9
44,Iowa State,Big 12,3,9,.250,25.0,32.7,,,
45,Kansas,Big 12,0,12,.000,15.3,46.1,,,
46,Kansas State,Big 12,6,7,.462,29.9,31.5,,,
47,Kent State,MAC (East),3,9,.250,13.1,26.1,,,
48,Kentucky,SEC (East),5,7,.417,24.7,27.4,,,
49,Louisiana,Sun Belt,4,8,.333,26.4,31.8,,,
50,Louisiana Tech,CUSA (West),9,4,.692,37.5,26.8,,,
51,Louisiana-Monroe,Sun Belt,2,11,.154,21.0,36.5,,,
52,Louisville,ACC (Atlantic),8,5,.615,28.7,24.1,,,
53,LSU,SEC (West),9,3,.750,32.8,24.3,14,4,16
54,Marshall,CUSA (East),10,3,.769,31.3,17.8,,,
55,Maryland,Big Ten (East),3,9,.250,24.7,34.4,,,
56,Massachusetts,MAC (East),3,9,.250,22.2,31.4,,,
57,Memphis,American (West),9,4,.692,40.2,27.3,,15,
58,Miami (FL),ACC (Coastal),8,5,.615,27.8,28.2,,,
59,Miami (OH),MAC (East),3,9,.250,17.9,32.0,,,
60,Michigan,Big Ten (East),10,3,.769,31.4,16.4,,12,12
61,Michigan State,Big Ten (East),12,2,.857,29.8,21.7,5,2,6
62,Middle Tennessee State,CUSA (East),7,6,.538,34.0,26.6,,,
63,Minnesota,Big Ten (West),6,7,.462,22.5,25.2,,,
64,Mississippi State,SEC (West),9,4,.692,34.4,23.2,,20,
65,Missouri,SEC (East),5,7,.417,13.6,16.2,24,21,
66,Navy,American (West),11,2,.846,36.8,21.8,,16,18
67,Nebraska,Big Ten (West),6,7,.462,32.8,27.8,,,
68,Nevada,MWC (West),7,6,.538,26.2,26.8,,,
69,Nevada-Las Vegas,MWC (West),3,9,.250,28.6,33.7,,,
70,New Mexico,MWC (Mountain),7,6,.538,29.9,28.4,,,
71,New Mexico State,Sun Belt,3,9,.250,28.6,45.0,,,
72,North Carolina,ACC (Coastal),11,3,.786,40.7,24.5,,8,15
73,North Carolina State,ACC (Atlantic),7,6,.538,33.2,25.8,,,
74,North Texas,CUSA (West),1,11,.083,15.2,41.3,,,
75,Northern Illinois,MAC (West),8,6,.571,31.1,27.6,,,
76,Northwestern,Big Ten (West),10,3,.769,19.5,18.6,,12,23
77,Notre Dame,Ind,10,3,.769,34.2,24.1,11,4,11
78,Ohio,MAC (East),8,5,.615,27.5,25.3,,,
79,Ohio State,Big Ten (East),12,1,.923,35.7,15.1,1,1,4
80,Oklahoma,Big 12,11,2,.846,43.5,22.0,19,3,5
81,Oklahoma State,Big 12,10,3,.769,39.5,30.5,,4,20
82,Old Dominion,CUSA (East),5,7,.417,24.3,35.8,,,
83,Ole Miss,SEC (West),10,3,.769,40.8,22.6,17,3,10
84,Oregon,Pac-12 (North),9,4,.692,43.0,37.5,7,7,19
85,Oregon State,Pac-12 (North),2,10,.167,19.0,37.0,,,
86,Penn State,Big Ten (East),7,6,.538,23.2,21.8,,,
87,Pitt,ACC (Coastal),8,5,.615,28.2,26.1,,23,
88,Purdue,Big Ten (West),2,10,.167,25.1,36.5,,,
89,Rice,CUSA (West),5,7,.417,26.1,35.8,,,
90,Rutgers,Big Ten (East),4,8,.333,27.1,34.9,,,
91,San Diego State,MWC (West),11,3,.786,32.1,16.4,,,
92,San Jose State,MWC (West),6,7,.462,27.9,27.2,,,
93,SMU,American (West),2,10,.167,27.8,45.7,,,
94,South Alabama,Sun Belt,5,7,.417,25.0,37.3,,,
95,South Carolina,SEC (East),3,9,.250,21.9,27.5,,,
96,South Florida,American (East),8,5,.615,33.6,22.9,,,
97,Southern Mississippi,CUSA (West),9,5,.643,39.9,25.6,,,
98,Stanford,Pac-12 (North),12,2,.857,37.8,22.6,21,3,3
99,Syracuse,ACC (Atlantic),4,8,.333,27.3,31.0,,,
100,Temple,American (East),10,4,.714,29.8,20.1,,20,
101,Tennessee,SEC (East),9,4,.692,35.2,20.0,25,22,22
102,Texas,Big 12,5,7,.417,26.4,30.3,,,
103,Texas A&M,SEC (West),8,5,.615,27.8,22.0,,9,
104,Texas Christian,Big 12,11,2,.846,42.1,27.2,2,2,7
105,Texas State,Sun Belt,3,9,.250,26.9,39.2,,,
106,Texas Tech,Big 12,7,6,.538,45.1,43.6,,,
107,Toledo,MAC (West),10,2,.833,35.0,20.8,,19,
108,Troy,Sun Belt,4,8,.333,27.9,28.3,,,
109,Tulane,American (West),3,9,.250,19.7,36.3,,,
110,Tulsa,American (West),6,7,.462,37.2,39.8,,,
111,UCF,American (East),0,12,.000,13.9,37.7,,,
112,UCLA,Pac-12 (South),8,5,.615,32.2,26.0,13,7,
113,USC,Pac-12 (South),8,6,.571,33.9,25.7,8,6,
114,Utah,Pac-12 (South),10,3,.769,30.6,22.3,,3,17
115,Utah State,MWC (Mountain),6,7,.462,29.0,26.7,,,
116,UTEP,CUSA (West),5,7,.417,20.7,32.9,,,
117,UTSA,CUSA (West),3,9,.250,22.6,33.8,,,
118,Vanderbilt,SEC (East),4,8,.333,15.2,21.0,,,
119,Virginia,ACC (Coastal),4,8,.333,25.8,32.2,,,
120,Virginia Tech,ACC (Coastal),7,6,.538,31.0,26.3,,,
121,Wake Forest,ACC (Atlantic),3,9,.250,17.4,24.6,,,
122,Washington,Pac-12 (North),7,6,.538,30.6,18.8,,,
123,Washington State,Pac-12 (North),9,4,.692,31.5,27.7,,20,
124,West Virginia,Big 12,8,5,.615,34.0,24.6,,23,
125,Western Kentucky,CUSA (East),12,2,.857,44.3,25.9,,24,24
126,Western Michigan,MAC (West),8,5,.615,36.0,28.3,,,
127,Wisconsin,Big Ten (West),10,3,.769,26.8,13.7,20,19,21
128,Wyoming,MWC (Mountain),2,10,.167,19.0,34.0,,,
