,,,Over,Over,Over,Poin,Poin,Poll,Poll,Poll
Rk,School,Conf,W,L,Pct,Off,Def,AP Pre,AP High,AP Rank
1,Florida State,ACC (Atlantic),12,2,.857,39.3,14.7,7,3,10
2,Clemson,ACC (Atlantic),11,2,.846,41.0,24.8,14,10,11
3,North Carolina State,ACC (Atlantic),7,6,.538,28.1,25.6,,,
4,Wake Forest,ACC (Atlantic),5,7,.417,18.5,31.8,,,
5,Maryland,ACC (Atlantic),4,8,.333,20.1,27.2,,,
6,Boston College,ACC (Atlantic),2,10,.167,19.8,29.7,,,
7,North Carolina,ACC (Coastal),8,4,.667,40.6,25.7,,,
8,Georgia Tech,ACC (Coastal),7,7,.500,33.6,28.3,,,
9,Miami (FL),ACC (Coastal),7,5,.583,31.4,30.5,,,
10,Virginia Tech,ACC (Coastal),7,6,.538,25.1,22.8,16,13,
11,Duke,ACC (Coastal),6,7,.462,31.5,36.0,,,
12,Virginia,ACC (Coastal),4,8,.333,22.8,28.9,,,
13,Kansas State,Big 12,11,2,.846,38.8,22.2,22,2,12
14,Oklahoma,Big 12,10,3,.769,38.2,25.5,4,4,15
15,Oklahoma State,Big 12,8,5,.615,45.7,28.2,19,18,
16,Texas,Big 12,9,4,.692,35.7,29.2,15,11,19
17,Baylor,Big 12,8,5,.615,44.5,37.2,,25,
18,Texas Tech,Big 12,8,5,.615,37.5,31.8,,15,
19,Texas Christian,Big 12,7,6,.538,28.3,22.6,20,15,
20,West Virginia,Big 12,7,6,.538,39.5,38.1,11,5,
21,Iowa State,Big 12,6,7,.462,24.5,23.9,,,
22,Kansas,Big 12,1,11,.083,18.3,36.1,,,
23,Louisville,Big East,11,2,.846,31.2,23.8,25,11,13
24,Cincinnati,Big East,10,3,.769,32.3,18.5,,21,
25,Rutgers,Big East,9,4,.692,21.5,14.2,,18,
26,Syracuse,Big East,8,5,.615,30.0,24.8,,,
27,Pitt,Big East,6,7,.462,26.6,21.1,,,
28,Connecticut,Big East,5,7,.417,17.8,19.8,,,
29,Temple,Big East,4,7,.364,24.7,31.2,,,
30,South Florida,Big East,3,9,.250,20.6,27.4,,,
31,Wisconsin,Big Ten (Leaders),8,6,.571,29.6,19.1,12,12,
32,Ohio State,Big Ten (Leaders),12,0,1.000,37.2,22.8,18,3,3
33,Penn State,Big Ten (Leaders),8,4,.667,29.1,19.1,,,
34,Purdue,Big Ten (Leaders),6,7,.462,28.7,31.2,,,
35,Indiana,Big Ten (Leaders),4,8,.333,30.8,35.3,,,
