,,,Over,Over,Over,Poin,Poin,Poll,Poll,Poll
36,Illinois,Big Ten (Leaders),2,10,.167,16.7,32.1,,,
37,Nebraska,Big Ten (Legends),10,4,.714,34.8,27.6,17,14,25
38,Michigan,Big Ten (Legends),8,5,.615,29.8,19.8,8,8,24
39,Northwestern,Big Ten (Legends),10,3,.769,31.7,22.5,,17,17
40,Michigan State,Big Ten (Legends),7,6,.538,20.0,16.3,13,10,
41,Minnesota,Big Ten (Legends),6,7,.462,22.1,24.7,,,
42,Iowa,Big Ten (Legends),4,8,.333,19.3,22.9,,,
43,UCF,CUSA (East),10,4,.714,35.4,22.1,,,
44,East Carolina,CUSA (East),8,5,.615,31.5,31.6,,,
45,Marshall,CUSA (East),5,7,.417,40.9,43.1,,,
46,Memphis,CUSA (East),4,8,.333,24.4,30.3,,,
47,UAB,CUSA (East),3,9,.250,28.3,37.5,,,
48,Southern Mississippi,CUSA (East),0,12,.000,19.7,37.8,,,
49,Tulsa,CUSA (West),11,3,.786,34.7,23.6,,,
50,SMU,CUSA (West),7,6,.538,31.0,25.7,,,
51,Rice,CUSA (West),7,6,.538,31.8,30.5,,,
52,Houston,CUSA (West),5,7,.417,32.4,36.0,,,
53,UTEP,CUSA (West),3,9,.250,21.2,29.8,,,
54,Tulane,CUSA (West),2,10,.167,21.4,38.4,,,
55,Notre Dame,Ind,12,1,.923,25.8,12.8,,1,4
56,Brigham Young,Ind,8,5,.615,28.7,14.0,,25,
57,Navy,Ind,8,5,.615,25.0,25.7,,,
58,Army,Ind,2,10,.167,24.3,35.3,,,
59,Kent State,MAC (East),11,3,.786,33.1,24.5,,18,
60,Bowling Green State,MAC (East),8,5,.615,22.9,16.8,,,
61,Ohio,MAC (East),9,4,.692,31.7,24.8,,23,
62,Buffalo,MAC (East),4,8,.333,21.3,28.5,,,
63,Miami (OH),MAC (East),4,8,.333,23.3,34.9,,,
64,Massachusetts,MAC (East),1,11,.083,12.7,40.2,,,
65,Akron,MAC (East),1,11,.083,26.1,35.7,,,
66,Northern Illinois,MAC (West),12,2,.857,38.6,19.9,,16,22
67,Ball State,MAC (West),9,4,.692,33.6,32.0,,,
68,Toledo,MAC (West),9,4,.692,31.5,28.4,,23,
69,Central Michigan,MAC (West),7,6,.538,28.8,32.4,,,
70,Western Michigan,MAC (West),4,8,.333,29.3,29.7,,,
71,Eastern Michigan,MAC (West),2,10,.167,21.3,37.6,,,
72,Boise State,MWC,11,2,.846,30.2,15.8,24,18,18
73,Fresno State,MWC,9,4,.692,37.9,23.8,,,
74,San Diego State,MWC,9,4,.692,32.8,24.4,,,
75,Air Force,MWC,6,7,.462,27.4,29.0,,,
76,Nevada,MWC,7,6,.538,37.8,33.8,,,
77,Colorado State,MWC,4,8,.333,21.2,30.3,,,
78,Wyoming,MWC,4,8,.333,26.8,33.4,,,
79,Nevada-Las Vegas,MWC,2,11,.154,22.0,32.6,,,
80,New Mexico,MWC,4,9,.308,25.8,30.2,,,
81,Hawaii,MWC,3,9,.250,21.2,35.7,,,
82,Stanford,Pac-12 (North),12,2,.857,27.9,17.2,21,7,7
83,Oregon,Pac-12 (North),12,1,.923,49.6,21.6,5,1,2
84,Oregon State,Pac-12 (North),9,4,.692,32.5,20.6,,7,20
85,Washington,Pac-12 (North),7,6,.538,24.0,24.2,,23,
86,California,Pac-12 (North),3,9,.250,23.0,33.1,,,
87,Washington State,Pac-12 (North),3,9,.250,20.4,33.7,,,
88,UCLA,Pac-12 (South),9,5,.643,34.4,27.6,,15,
89,Arizona State,Pac-12 (South),8,5,.615,38.4,24.3,,,
90,USC,Pac-12 (South),7,6,.538,32.1,24.3,1,1,
91,Arizona,Pac-12 (South),8,5,.615,38.2,35.3,,22,
92,Utah,Pac-12 (South),5,7,.417,26.7,25.1,,,
93,Colorado,Pac-12 (South),1,11,.083,17.8,46.0,,,
94,Georgia,SEC (East),12,2,.857,37.8,19.6,6,3,5
95,Florida,SEC (East),11,2,.846,26.5,14.5,23,3,9
96,South Carolina,SEC (East),11,2,.846,31.5,18.2,9,3,8
97,Vanderbilt,SEC (East),9,4,.692,30.0,18.7,,23,23
98,Missouri,SEC (East),5,7,.417,25.8,28.4,,,
99,Tennessee,SEC (East),5,7,.417,36.2,35.7,,23,
100,Kentucky,SEC (East),2,10,.167,17.9,31.0,,,
101,Alabama,SEC (West),13,1,.929,38.7,10.9,2,1,1
102,Texas A&M,SEC (West),11,2,.846,44.5,21.8,,5,5
103,LSU,SEC (West),10,3,.769,29.8,17.5,3,2,14
104,Mississippi State,SEC (West),8,5,.615,29.5,23.3,,13,
105,Ole Miss,SEC (West),7,6,.538,31.5,27.6,,,
106,Arkansas,SEC (West),4,8,.333,23.5,30.4,10,8,
107,Auburn,SEC (West),3,9,.250,18.7,28.3,,,
108,Arkansas State,Sun Belt,10,3,.769,34.9,24.5,,,
109,Louisiana,Sun Belt,9,4,.692,35.5,28.1,,,
110,Louisiana-Monroe,Sun Belt,8,5,.615,33.8,29.2,,,
111,Middle Tennessee State,Sun Belt,8,4,.667,26.6,28.0,,,
112,Western Kentucky,Sun Belt,7,6,.538,28.2,25.5,,,
113,Troy,Sun Belt,5,7,.417,30.6,30.5,,,
114,North Texas,Sun Belt,4,8,.333,20.9,27.8,,,
115,Florida Atlantic,Sun Belt,3,9,.250,20.5,30.8,,,
116,Florida International,Sun Belt,3,9,.250,25.0,31.7,,,
117,South Alabama,Sun Belt,2,11,.154,18.5,29.5,,,
118,Utah State,WAC,11,2,.846,34.9,15.4,,16,16
119,San Jose State,WAC,11,2,.846,34.8,21.3,,21,21
120,Louisiana Tech,WAC,9,3,.750,51.5,38.5,,19,
121,UTSA,WAC,8,4,.667,31.2,28.8,,,
122,Texas State,WAC,4,8,.333,28.6,33.5,,,
123,Idaho,WAC,1,11,.083,15.8,42.4,,,
124,New Mexico State,WAC,1,11,.083,18.7,39.4,,,
